X(Numero de onda),Y(Abs)
3998.71156,-0.00504
3998.00357,-0.00503
3997.29558,-0.00502
3996.5876,-0.00501
3995.87961,-0.00499
3995.17162,-0.00498
3994.46363,-0.00497
3993.75565,-0.00496
3993.04766,-0.00495
3992.33967,-0.00494
3991.63169,-0.00493
3990.9237,-0.00492
3990.21571,-0.00491
3989.50772,-0.0049
3988.79974,-0.0049
3988.09175,-0.00489
3987.38376,-0.00488
3986.67578,-0.00488
3985.96779,-0.00487
3985.2598,-0.00486
3984.55181,-0.00486
3983.84383,-0.00485
3983.13584,-0.00485
3982.42785,-0.00484
3981.71987,-0.00484
3981.01188,-0.00483
3980.30389,-0.00482
3979.5959,-0.00482
3978.88792,-0.00481
3978.17993,-0.00481
3977.47194,-0.0048
3976.76396,-0.00479
3976.05597,-0.00479
3975.34798,-0.00478
3974.63999,-0.00477
3973.93201,-0.00476
3973.22402,-0.00476
3972.51603,-0.00475
3971.80805,-0.00474
3971.10006,-0.00473
3970.39207,-0.00472
3969.68408,-0.00471
3968.9761,-0.0047
3968.26811,-0.00469
3967.56012,-0.00467
3966.85213,-0.00466
3966.14415,-0.00464
3965.43616,-0.00462
3964.72817,-0.0046
3964.02019,-0.00457
3963.3122,-0.00454
3962.60421,-0.00451
3961.89622,-0.00448
3961.18824,-0.00444
3960.48025,-0.0044
3959.77226,-0.00436
3959.06428,-0.00431
3958.35629,-0.00426
3957.6483,-0.00421
3956.94031,-0.00415
3956.23233,-0.0041
3955.52434,-0.00404
3954.81635,-0.00398
3954.10837,-0.00392
3953.40038,-0.00386
3952.69239,-0.0038
3951.9844,-0.00374
3951.27642,-0.00369
3950.56843,-0.00363
3949.86044,-0.00358
3949.15246,-0.00353
3948.44447,-0.00348
3947.73648,-0.00344
3947.02849,-0.0034
3946.32051,-0.00336
3945.61252,-0.00333
3944.90453,-0.0033
3944.19655,-0.00327
3943.48856,-0.00325
3942.78057,-0.00323
3942.07258,-0.00321
3941.3646,-0.00319
3940.65661,-0.00318
3939.94862,-0.00316
3939.24064,-0.00315
3938.53265,-0.00313
3937.82466,-0.00311
3937.11667,-0.0031
3936.40869,-0.00308
3935.7007,-0.00306
3934.99271,-0.00304
3934.28472,-0.00301
3933.57674,-0.00299
3932.86875,-0.00297
3932.16076,-0.00294
3931.45278,-0.00292
3930.74479,-0.00289
3930.0368,-0.00287
3929.32881,-0.00285
3928.62083,-0.00282
3927.91284,-0.00281
3927.20485,-0.00279
3926.49687,-0.00278
3925.78888,-0.00276
3925.08089,-0.00276
3924.3729,-0.00275
3923.66492,-0.00275
3922.95693,-0.00274
3922.24894,-0.00274
3921.54096,-0.00275
3920.83297,-0.00275
3920.12498,-0.00275
3919.41699,-0.00276
3918.70901,-0.00276
3918.00102,-0.00277
3917.29303,-0.00277
3916.58505,-0.00277
3915.87706,-0.00277
3915.16907,-0.00276
3914.46108,-0.00276
3913.7531,-0.00274
3913.04511,-0.00272
3912.33712,-0.0027
3911.62914,-0.00266
3910.92115,-0.00263
3910.21316,-0.00258
3909.50517,-0.00253
3908.79719,-0.00247
3908.0892,-0.00241
3907.38121,-0.00233
3906.67323,-0.00226
3905.96524,-0.00217
3905.25725,-0.00209
3904.54926,-0.002
3903.84128,-0.00191
3903.13329,-0.00183
3902.4253,-0.00174
3901.71731,-0.00166
3901.00933,-0.00159
3900.30134,-0.00152
3899.59335,-0.00146
3898.88537,-0.00141
3898.17738,-0.00137
3897.46939,-0.00134
3896.7614,-0.00132
3896.05342,-0.00131
3895.34543,-0.00131
3894.63744,-0.00131
3893.92946,-0.00132
3893.22147,-0.00134
3892.51348,-0.00135
3891.80549,-0.00136
3891.09751,-0.00138
3890.38952,-0.00139
3889.68153,-0.0014
3888.97355,-0.00141
3888.26556,-0.00142
3887.55757,-0.00142
3886.84958,-0.00142
3886.1416,-0.00142
3885.43361,-0.00141
3884.72562,-0.0014
3884.01764,-0.00139
3883.30965,-0.00138
3882.60166,-0.00136
3881.89367,-0.00134
3881.18569,-0.00131
3880.4777,-0.00129
3879.76971,-0.00125
3879.06173,-0.00122
3878.35374,-0.00118
3877.64575,-0.00114
3876.93776,-0.0011
3876.22978,-0.00105
3875.52179,-0.00101
3874.8138,-0.00095
3874.10582,-0.0009
3873.39783,-0.00085
3872.68984,-0.00079
3871.98185,-0.00073
3871.27387,-0.00067
3870.56588,-0.00062
3869.85789,-0.00056
3869.1499,-0.00051
3868.44192,-0.00047
3867.73393,-0.00043
3867.02594,-0.0004
3866.31796,-0.00037
3865.60997,-0.00035
3864.90198,-0.00034
3864.19399,-0.00034
3863.48601,-0.00035
3862.77802,-0.00036
3862.07003,-0.00038
3861.36205,-0.00041
3860.65406,-0.00045
3859.94607,-0.00048
3859.23808,-0.00052
3858.5301,-0.00056
3857.82211,-0.0006
3857.11412,-0.00064
3856.40614,-0.00068
3855.69815,-0.0007
3854.99016,-0.00072
3854.28217,-0.00074
3853.57419,-0.00074
3852.8662,-0.00074
3852.15821,-0.00073
3851.45023,-0.00072
3850.74224,-0.0007
3850.03425,-0.00068
3849.32626,-0.00066
3848.61828,-0.00064
3847.91029,-0.00063
3847.2023,-0.00062
3846.49432,-0.00061
3845.78633,-0.00061
3845.07834,-0.00061
3844.37035,-0.00061
3843.66237,-0.00062
3842.95438,-0.00063
3842.24639,-0.00064
3841.53841,-0.00065
3840.83042,-0.00067
3840.12243,-0.00068
3839.41444,-0.00069
3838.70646,-0.0007
3837.99847,-0.00071
3837.29048,-0.00073
3836.58249,-0.00074
3835.87451,-0.00076
3835.16652,-0.00078
3834.45853,-0.00081
3833.75055,-0.00083
3833.04256,-0.00086
3832.33457,-0.00089
3831.62658,-0.00092
3830.9186,-0.00096
3830.21061,-0.00099
3829.50262,-0.00103
3828.79464,-0.00107
3828.08665,-0.0011
3827.37866,-0.00114
3826.67067,-0.00117
3825.96269,-0.0012
3825.2547,-0.00123
3824.54671,-0.00126
3823.83873,-0.00128
3823.13074,-0.00131
3822.42275,-0.00133
3821.71476,-0.00134
3821.00678,-0.00136
3820.29879,-0.00138
3819.5908,-0.00139
3818.88282,-0.0014
3818.17483,-0.00142
3817.46684,-0.00143
3816.75885,-0.00145
3816.05087,-0.00147
3815.34288,-0.00148
3814.63489,-0.00151
3813.92691,-0.00153
3813.21892,-0.00155
3812.51093,-0.00158
3811.80294,-0.0016
3811.09496,-0.00162
3810.38697,-0.00165
3809.67898,-0.00166
3808.971,-0.00168
3808.26301,-0.00169
3807.55502,-0.0017
3806.84703,-0.00171
3806.13905,-0.00171
3805.43106,-0.00171
3804.72307,-0.00171
3804.01508,-0.00171
3803.3071,-0.00171
3802.59911,-0.00171
3801.89112,-0.00172
3801.18314,-0.00173
3800.47515,-0.00175
3799.76716,-0.00178
3799.05917,-0.00182
3798.35119,-0.00186
3797.6432,-0.00192
3796.93521,-0.00198
3796.22723,-0.00205
3795.51924,-0.00213
3794.81125,-0.00222
3794.10326,-0.00231
3793.39528,-0.0024
3792.68729,-0.0025
3791.9793,-0.00259
3791.27132,-0.00269
3790.56333,-0.00279
3789.85534,-0.00288
3789.14735,-0.00297
3788.43937,-0.00306
3787.73138,-0.00314
3787.02339,-0.00322
3786.31541,-0.00329
3785.60742,-0.00335
3784.89943,-0.0034
3784.19144,-0.00345
3783.48346,-0.00349
3782.77547,-0.00353
3782.06748,-0.00356
3781.3595,-0.00358
3780.65151,-0.00359
3779.94352,-0.0036
3779.23553,-0.0036
3778.52755,-0.0036
3777.81956,-0.00358
3777.11157,-0.00357
3776.40359,-0.00355
3775.6956,-0.00352
3774.98761,-0.00349
3774.27962,-0.00345
3773.57164,-0.00341
3772.86365,-0.00336
3772.15566,-0.0033
3771.44767,-0.00323
3770.73969,-0.00316
3770.0317,-0.00308
3769.32371,-0.00299
3768.61573,-0.00289
3767.90774,-0.00278
3767.19975,-0.00267
3766.49176,-0.00255
3765.78378,-0.00242
3765.07579,-0.00229
3764.3678,-0.00215
3763.65982,-0.00201
3762.95183,-0.00186
3762.24384,-0.00171
3761.53585,-0.00156
3760.82787,-0.0014
3760.11988,-0.00123
3759.41189,-0.00106
3758.70391,-0.00089
3757.99592,-0.00071
3757.28793,-0.00053
3756.57994,-0.00034
3755.87196,-0.00015
3755.16397,0.00005
3754.45598,0.00024
3753.748,0.00044
3753.04001,0.00064
3752.33202,0.00084
3751.62403,0.00104
3750.91605,0.00123
3750.20806,0.00142
3749.50007,0.00161
3748.79209,0.00179
3748.0841,0.00196
3747.37611,0.00213
3746.66812,0.00228
3745.96014,0.00243
3745.25215,0.00256
3744.54416,0.00268
3743.83618,0.00279
3743.12819,0.00288
3742.4202,0.00296
3741.71221,0.00302
3741.00423,0.00307
3740.29624,0.0031
3739.58825,0.00312
3738.88026,0.00313
3738.17228,0.00312
3737.46429,0.00309
3736.7563,0.00306
3736.04832,0.00301
3735.34033,0.00295
3734.63234,0.00288
3733.92435,0.00281
3733.21637,0.00272
3732.50838,0.00263
3731.80039,0.00253
3731.09241,0.00242
3730.38442,0.0023
3729.67643,0.00218
3728.96844,0.00204
3728.26046,0.0019
3727.55247,0.00176
3726.84448,0.00161
3726.1365,0.00145
3725.42851,0.00129
3724.72052,0.00113
3724.01253,0.00097
3723.30455,0.00081
3722.59656,0.00066
3721.88857,0.0005
3721.18059,0.00034
3720.4726,0.00019
3719.76461,0.00004
3719.05662,-0.0001
3718.34864,-0.00024
3717.64065,-0.00038
3716.93266,-0.00051
3716.22468,-0.00064
3715.51669,-0.00077
3714.8087,-0.00089
3714.10071,-0.00101
3713.39273,-0.00112
3712.68474,-0.00122
3711.97675,-0.00132
3711.26877,-0.00142
3710.56078,-0.00151
3709.85279,-0.0016
3709.1448,-0.00169
3708.43682,-0.00177
3707.72883,-0.00186
3707.02084,-0.00195
3706.31285,-0.00204
3705.60487,-0.00212
3704.89688,-0.00221
3704.18889,-0.0023
3703.48091,-0.00239
3702.77292,-0.00247
3702.06493,-0.00256
3701.35694,-0.00263
3700.64896,-0.0027
3699.94097,-0.00277
3699.23298,-0.00283
3698.525,-0.00288
3697.81701,-0.00293
3697.10902,-0.00298
3696.40103,-0.00302
3695.69305,-0.00305
3694.98506,-0.00308
3694.27707,-0.00311
3693.56909,-0.00313
3692.8611,-0.00315
3692.15311,-0.00316
3691.44512,-0.00317
3690.73714,-0.00317
3690.02915,-0.00317
3689.32116,-0.00317
3688.61318,-0.00316
3687.90519,-0.00315
3687.1972,-0.00315
3686.48921,-0.00314
3685.78123,-0.00314
3685.07324,-0.00313
3684.36525,-0.00314
3683.65727,-0.00315
3682.94928,-0.00316
3682.24129,-0.00318
3681.5333,-0.00321
3680.82532,-0.00324
3680.11733,-0.00327
3679.40934,-0.00331
3678.70136,-0.00335
3677.99337,-0.0034
3677.28538,-0.00344
3676.57739,-0.00349
3675.86941,-0.00355
3675.16142,-0.0036
3674.45343,-0.00367
3673.74544,-0.00374
3673.03746,-0.00382
3672.32947,-0.00391
3671.62148,-0.00401
3670.9135,-0.00412
3670.20551,-0.00423
3669.49752,-0.00436
3668.78953,-0.0045
3668.08155,-0.00464
3667.37356,-0.00479
3666.66557,-0.00494
3665.95759,-0.0051
3665.2496,-0.00525
3664.54161,-0.0054
3663.83362,-0.00555
3663.12564,-0.00569
3662.41765,-0.00583
3661.70966,-0.00595
3661.00168,-0.00607
3660.29369,-0.00617
3659.5857,-0.00626
3658.87771,-0.00634
3658.16973,-0.00641
3657.46174,-0.00647
3656.75375,-0.00652
3656.04577,-0.00655
3655.33778,-0.00658
3654.62979,-0.00661
3653.9218,-0.00663
3653.21382,-0.00666
3652.50583,-0.00668
3651.79784,-0.00671
3651.08986,-0.00674
3650.38187,-0.00678
3649.67388,-0.00683
3648.96589,-0.00689
3648.25791,-0.00696
3647.54992,-0.00704
3646.84193,-0.00713
3646.13395,-0.00723
3645.42596,-0.00734
3644.71797,-0.00747
3644.00998,-0.0076
3643.302,-0.00775
3642.59401,-0.0079
3641.88602,-0.00805
3641.17803,-0.00821
3640.47005,-0.00836
3639.76206,-0.00851
3639.05407,-0.00865
3638.34609,-0.00878
3637.6381,-0.0089
3636.93011,-0.00901
3636.22212,-0.0091
3635.51414,-0.00917
3634.80615,-0.00924
3634.09816,-0.00928
3633.39018,-0.00931
3632.68219,-0.00932
3631.9742,-0.00932
3631.26621,-0.00931
3630.55823,-0.00928
3629.85024,-0.00924
3629.14225,-0.0092
3628.43427,-0.00915
3627.72628,-0.0091
3627.01829,-0.00904
3626.3103,-0.00899
3625.60232,-0.00894
3624.89433,-0.0089
3624.18634,-0.00886
3623.47836,-0.00883
3622.77037,-0.00881
3622.06238,-0.0088
3621.35439,-0.0088
3620.64641,-0.0088
3619.93842,-0.00881
3619.23043,-0.00883
3618.52245,-0.00885
3617.81446,-0.00889
3617.10647,-0.00892
3616.39848,-0.00897
3615.6905,-0.00902
3614.98251,-0.00907
3614.27452,-0.00914
3613.56654,-0.00921
3612.85855,-0.00929
3612.15056,-0.00938
3611.44257,-0.00948
3610.73459,-0.00958
3610.0266,-0.00969
3609.31861,-0.0098
3608.61063,-0.00992
3607.90264,-0.01004
3607.19465,-0.01016
3606.48666,-0.01027
3605.77868,-0.01039
3605.07069,-0.0105
3604.3627,-0.01061
3603.65471,-0.01072
3602.94673,-0.01082
3602.23874,-0.01091
3601.53075,-0.01099
3600.82277,-0.01107
3600.11478,-0.01114
3599.40679,-0.0112
3598.6988,-0.01125
3597.99082,-0.0113
3597.28283,-0.01134
3596.57484,-0.01138
3595.86686,-0.01142
3595.15887,-0.01145
3594.45088,-0.01148
3593.74289,-0.01152
3593.03491,-0.01156
3592.32692,-0.0116
3591.61893,-0.01165
3590.91095,-0.0117
3590.20296,-0.01176
3589.49497,-0.01183
3588.78698,-0.0119
3588.079,-0.01198
3587.37101,-0.01207
3586.66302,-0.01216
3585.95504,-0.01226
3585.24705,-0.01236
3584.53906,-0.01247
3583.83107,-0.01257
3583.12309,-0.01268
3582.4151,-0.01278
3581.70711,-0.01288
3580.99913,-0.01298
3580.29114,-0.01307
3579.58315,-0.01314
3578.87516,-0.01321
3578.16718,-0.01326
3577.45919,-0.01331
3576.7512,-0.01333
3576.04322,-0.01334
3575.33523,-0.01334
3574.62724,-0.01333
3573.91925,-0.0133
3573.21127,-0.01326
3572.50328,-0.01321
3571.79529,-0.01316
3571.0873,-0.0131
3570.37932,-0.01304
3569.67133,-0.01298
3568.96334,-0.01293
3568.25536,-0.01288
3567.54737,-0.01283
3566.83938,-0.0128
3566.13139,-0.01278
3565.42341,-0.01277
3564.71542,-0.01278
3564.00743,-0.0128
3563.29945,-0.01283
3562.59146,-0.01288
3561.88347,-0.01294
3561.17548,-0.01301
3560.4675,-0.01309
3559.75951,-0.01318
3559.05152,-0.01327
3558.34354,-0.01336
3557.63555,-0.01345
3556.92756,-0.01355
3556.21957,-0.01363
3555.51159,-0.01372
3554.8036,-0.01379
3554.09561,-0.01386
3553.38763,-0.01392
3552.67964,-0.01398
3551.97165,-0.01403
3551.26366,-0.01407
3550.55568,-0.01411
3549.84769,-0.01414
3549.1397,-0.01418
3548.43172,-0.01421
3547.72373,-0.01424
3547.01574,-0.01428
3546.30775,-0.01432
3545.59977,-0.01436
3544.89178,-0.0144
3544.18379,-0.01444
3543.47581,-0.01449
3542.76782,-0.01454
3542.05983,-0.01459
3541.35184,-0.01465
3540.64386,-0.0147
3539.93587,-0.01476
3539.22788,-0.01481
3538.51989,-0.01486
3537.81191,-0.0149
3537.10392,-0.01495
3536.39593,-0.01498
3535.68795,-0.01501
3534.97996,-0.01504
3534.27197,-0.01506
3533.56398,-0.01507
3532.856,-0.01508
3532.14801,-0.01509
3531.44002,-0.01509
3530.73204,-0.01509
3530.02405,-0.01509
3529.31606,-0.01509
3528.60807,-0.01509
3527.90009,-0.01509
3527.1921,-0.0151
3526.48411,-0.0151
3525.77613,-0.01512
3525.06814,-0.01513
3524.36015,-0.01516
3523.65216,-0.01519
3522.94418,-0.01522
3522.23619,-0.01526
3521.5282,-0.0153
3520.82022,-0.01535
3520.11223,-0.01541
3519.40424,-0.01546
3518.69625,-0.01552
3517.98827,-0.01558
3517.28028,-0.01563
3516.57229,-0.01569
3515.86431,-0.01574
3515.15632,-0.01579
3514.44833,-0.01584
3513.74034,-0.01589
3513.03236,-0.01592
3512.32437,-0.01596
3511.61638,-0.01599
3510.9084,-0.01602
3510.20041,-0.01605
3509.49242,-0.01608
3508.78443,-0.0161
3508.07645,-0.01613
3507.36846,-0.01616
3506.66047,-0.01619
3505.95248,-0.01622
3505.2445,-0.01626
3504.53651,-0.01631
3503.82852,-0.01635
3503.12054,-0.01641
3502.41255,-0.01647
3501.70456,-0.01653
3500.99657,-0.0166
3500.28859,-0.01667
3499.5806,-0.01675
3498.87261,-0.01683
3498.16463,-0.01691
3497.45664,-0.017
3496.74865,-0.01708
3496.04066,-0.01716
3495.33268,-0.01725
3494.62469,-0.01733
3493.9167,-0.01741
3493.20872,-0.01748
3492.50073,-0.01756
3491.79274,-0.01762
3491.08475,-0.01769
3490.37677,-0.01775
3489.66878,-0.01781
3488.96079,-0.01786
3488.25281,-0.01791
3487.54482,-0.01796
3486.83683,-0.018
3486.12884,-0.01805
3485.42086,-0.01809
3484.71287,-0.01812
3484.00488,-0.01816
3483.2969,-0.0182
3482.58891,-0.01823
3481.88092,-0.01826
3481.17293,-0.0183
3480.46495,-0.01833
3479.75696,-0.01837
3479.04897,-0.0184
3478.34099,-0.01844
3477.633,-0.01848
3476.92501,-0.01852
3476.21702,-0.01856
3475.50904,-0.01861
3474.80105,-0.01866
3474.09306,-0.0187
3473.38507,-0.01876
3472.67709,-0.01881
3471.9691,-0.01886
3471.26111,-0.01892
3470.55313,-0.01897
3469.84514,-0.01903
3469.13715,-0.01909
3468.42916,-0.01914
3467.72118,-0.0192
3467.01319,-0.01925
3466.3052,-0.01931
3465.59722,-0.01936
3464.88923,-0.01941
3464.18124,-0.01946
3463.47325,-0.0195
3462.76527,-0.01955
3462.05728,-0.01959
3461.34929,-0.01963
3460.64131,-0.01967
3459.93332,-0.01971
3459.22533,-0.01975
3458.51734,-0.01979
3457.80936,-0.01982
3457.10137,-0.01986
3456.39338,-0.01989
3455.6854,-0.01993
3454.97741,-0.01997
3454.26942,-0.02001
3453.56143,-0.02004
3452.85345,-0.02008
3452.14546,-0.02012
3451.43747,-0.02016
3450.72949,-0.02021
3450.0215,-0.02025
3449.31351,-0.0203
3448.60552,-0.02035
3447.89754,-0.02039
3447.18955,-0.02045
3446.48156,-0.0205
3445.77358,-0.02056
3445.06559,-0.02061
3444.3576,-0.02067
3443.64961,-0.02074
3442.94163,-0.0208
3442.23364,-0.02087
3441.52565,-0.02094
3440.81766,-0.02101
3440.10968,-0.02109
3439.40169,-0.02116
3438.6937,-0.02124
3437.98572,-0.02132
3437.27773,-0.02139
3436.56974,-0.02147
3435.86175,-0.02155
3435.15377,-0.02162
3434.44578,-0.0217
3433.73779,-0.02177
3433.02981,-0.02184
3432.32182,-0.02191
3431.61383,-0.02198
3430.90584,-0.02204
3430.19786,-0.0221
3429.48987,-0.02216
3428.78188,-0.02222
3428.0739,-0.02228
3427.36591,-0.02233
3426.65792,-0.02238
3425.94993,-0.02243
3425.24195,-0.02248
3424.53396,-0.02253
3423.82597,-0.02257
3423.11799,-0.02262
3422.41,-0.02266
3421.70201,-0.02271
3420.99402,-0.02275
3420.28604,-0.02279
3419.57805,-0.02284
3418.87006,-0.02289
3418.16208,-0.02293
3417.45409,-0.02298
3416.7461,-0.02303
3416.03811,-0.02308
3415.33013,-0.02314
3414.62214,-0.02319
3413.91415,-0.02325
3413.20617,-0.0233
3412.49818,-0.02336
3411.79019,-0.02341
3411.0822,-0.02347
3410.37422,-0.02352
3409.66623,-0.02357
3408.95824,-0.02362
3408.25025,-0.02367
3407.54227,-0.02372
3406.83428,-0.02376
3406.12629,-0.02381
3405.41831,-0.02385
3404.71032,-0.02389
3404.00233,-0.02392
3403.29434,-0.02395
3402.58636,-0.02398
3401.87837,-0.02401
3401.17038,-0.02404
3400.4624,-0.02406
3399.75441,-0.02408
3399.04642,-0.02411
3398.33843,-0.02412
3397.63045,-0.02414
3396.92246,-0.02416
3396.21447,-0.02418
3395.50649,-0.02419
3394.7985,-0.02421
3394.09051,-0.02423
3393.38252,-0.02426
3392.67454,-0.02428
3391.96655,-0.02431
3391.25856,-0.02434
3390.55058,-0.02437
3389.84259,-0.02441
3389.1346,-0.02444
3388.42661,-0.02449
3387.71863,-0.02453
3387.01064,-0.02458
3386.30265,-0.02463
3385.59467,-0.02468
3384.88668,-0.02473
3384.17869,-0.02479
3383.4707,-0.02484
3382.76272,-0.02489
3382.05473,-0.02495
3381.34674,-0.025
3380.63876,-0.02505
3379.93077,-0.02509
3379.22278,-0.02514
3378.51479,-0.02518
3377.80681,-0.02523
3377.09882,-0.02527
3376.39083,-0.02531
3375.68284,-0.02535
3374.97486,-0.02538
3374.26687,-0.02542
3373.55888,-0.02546
3372.8509,-0.0255
3372.14291,-0.02553
3371.43492,-0.02557
3370.72693,-0.02561
3370.01895,-0.02565
3369.31096,-0.02569
3368.60297,-0.02573
3367.89499,-0.02577
3367.187,-0.02582
3366.47901,-0.02586
3365.77102,-0.0259
3365.06304,-0.02595
3364.35505,-0.02599
3363.64706,-0.02603
3362.93908,-0.02608
3362.23109,-0.02612
3361.5231,-0.02616
3360.81511,-0.0262
3360.10713,-0.02624
3359.39914,-0.02628
3358.69115,-0.02631
3357.98317,-0.02635
3357.27518,-0.02638
3356.56719,-0.02641
3355.8592,-0.02644
3355.15122,-0.02646
3354.44323,-0.02648
3353.73524,-0.0265
3353.02726,-0.02651
3352.31927,-0.02652
3351.61128,-0.02653
3350.90329,-0.02654
3350.19531,-0.02654
3349.48732,-0.02654
3348.77933,-0.02654
3348.07135,-0.02654
3347.36336,-0.02654
3346.65537,-0.02653
3345.94738,-0.02653
3345.2394,-0.02652
3344.53141,-0.02651
3343.82342,-0.02651
3343.11543,-0.0265
3342.40745,-0.0265
3341.69946,-0.02649
3340.99147,-0.02649
3340.28349,-0.02648
3339.5755,-0.02648
3338.86751,-0.02648
3338.15952,-0.02648
3337.45154,-0.02648
3336.74355,-0.02647
3336.03556,-0.02647
3335.32758,-0.02647
3334.61959,-0.02647
3333.9116,-0.02646
3333.20361,-0.02646
3332.49563,-0.02645
3331.78764,-0.02644
3331.07965,-0.02644
3330.37167,-0.02643
3329.66368,-0.02642
3328.95569,-0.02641
