X(Numero de onda),Y(Abs)
3998.71156,-0.00373
3998.00357,-0.00372
3997.29558,-0.00371
3996.5876,-0.00371
3995.87961,-0.0037
3995.17162,-0.0037
3994.46363,-0.00369
3993.75565,-0.00369
3993.04766,-0.00368
3992.33967,-0.00368
3991.63169,-0.00367
3990.9237,-0.00367
3990.21571,-0.00367
3989.50772,-0.00366
3988.79974,-0.00366
3988.09175,-0.00366
3987.38376,-0.00365
3986.67578,-0.00365
3985.96779,-0.00365
3985.2598,-0.00365
3984.55181,-0.00364
3983.84383,-0.00364
3983.13584,-0.00364
3982.42785,-0.00364
3981.71987,-0.00363
3981.01188,-0.00363
3980.30389,-0.00362
3979.5959,-0.00362
3978.88792,-0.00361
3978.17993,-0.00361
3977.47194,-0.0036
3976.76396,-0.00359
3976.05597,-0.00359
3975.34798,-0.00358
3974.63999,-0.00357
3973.93201,-0.00356
3973.22402,-0.00355
3972.51603,-0.00354
3971.80805,-0.00353
3971.10006,-0.00352
3970.39207,-0.00351
3969.68408,-0.0035
3968.9761,-0.00348
3968.26811,-0.00347
3967.56012,-0.00346
3966.85213,-0.00345
3966.14415,-0.00344
3965.43616,-0.00343
3964.72817,-0.00342
3964.02019,-0.00341
3963.3122,-0.0034
3962.60421,-0.00339
3961.89622,-0.00338
3961.18824,-0.00337
3960.48025,-0.00336
3959.77226,-0.00335
3959.06428,-0.00333
3958.35629,-0.00332
3957.6483,-0.00331
3956.94031,-0.0033
3956.23233,-0.00329
3955.52434,-0.00328
3954.81635,-0.00327
3954.10837,-0.00326
3953.40038,-0.00325
3952.69239,-0.00324
3951.9844,-0.00323
3951.27642,-0.00322
3950.56843,-0.00322
3949.86044,-0.00321
3949.15246,-0.0032
3948.44447,-0.00319
3947.73648,-0.00318
3947.02849,-0.00317
3946.32051,-0.00316
3945.61252,-0.00315
3944.90453,-0.00314
3944.19655,-0.00313
3943.48856,-0.00312
3942.78057,-0.00311
3942.07258,-0.0031
3941.3646,-0.00309
3940.65661,-0.00307
3939.94862,-0.00305
3939.24064,-0.00304
3938.53265,-0.00302
3937.82466,-0.003
3937.11667,-0.00298
3936.40869,-0.00296
3935.7007,-0.00294
3934.99271,-0.00292
3934.28472,-0.00289
3933.57674,-0.00287
3932.86875,-0.00284
3932.16076,-0.00282
3931.45278,-0.0028
3930.74479,-0.00277
3930.0368,-0.00275
3929.32881,-0.00273
3928.62083,-0.00271
3927.91284,-0.00269
3927.20485,-0.00267
3926.49687,-0.00266
3925.78888,-0.00265
3925.08089,-0.00263
3924.3729,-0.00262
3923.66492,-0.00262
3922.95693,-0.00261
3922.24894,-0.0026
3921.54096,-0.0026
3920.83297,-0.0026
3920.12498,-0.0026
3919.41699,-0.00259
3918.70901,-0.00259
3918.00102,-0.00259
3917.29303,-0.00259
3916.58505,-0.00259
3915.87706,-0.00258
3915.16907,-0.00258
3914.46108,-0.00257
3913.7531,-0.00256
3913.04511,-0.00255
3912.33712,-0.00254
3911.62914,-0.00252
3910.92115,-0.0025
3910.21316,-0.00248
3909.50517,-0.00245
3908.79719,-0.00242
3908.0892,-0.00239
3907.38121,-0.00235
3906.67323,-0.00231
3905.96524,-0.00227
3905.25725,-0.00223
3904.54926,-0.00219
3903.84128,-0.00214
3903.13329,-0.0021
3902.4253,-0.00205
3901.71731,-0.00201
3901.00933,-0.00197
3900.30134,-0.00193
3899.59335,-0.0019
3898.88537,-0.00188
3898.17738,-0.00185
3897.46939,-0.00184
3896.7614,-0.00183
3896.05342,-0.00182
3895.34543,-0.00182
3894.63744,-0.00182
3893.92946,-0.00182
3893.22147,-0.00183
3892.51348,-0.00184
3891.80549,-0.00185
3891.09751,-0.00186
3890.38952,-0.00187
3889.68153,-0.00188
3888.97355,-0.00189
3888.26556,-0.0019
3887.55757,-0.00191
3886.84958,-0.00191
3886.1416,-0.00192
3885.43361,-0.00193
3884.72562,-0.00193
3884.01764,-0.00194
3883.30965,-0.00194
3882.60166,-0.00194
3881.89367,-0.00194
3881.18569,-0.00194
3880.4777,-0.00194
3879.76971,-0.00193
3879.06173,-0.00192
3878.35374,-0.00191
3877.64575,-0.0019
3876.93776,-0.00188
3876.22978,-0.00187
3875.52179,-0.00185
3874.8138,-0.00183
3874.10582,-0.00181
3873.39783,-0.00179
3872.68984,-0.00177
3871.98185,-0.00174
3871.27387,-0.00172
3870.56588,-0.0017
3869.85789,-0.00168
3869.1499,-0.00165
3868.44192,-0.00164
3867.73393,-0.00162
3867.02594,-0.00161
3866.31796,-0.0016
3865.60997,-0.0016
3864.90198,-0.00159
3864.19399,-0.0016
3863.48601,-0.0016
3862.77802,-0.00161
3862.07003,-0.00163
3861.36205,-0.00165
3860.65406,-0.00167
3859.94607,-0.00169
3859.23808,-0.00171
3858.5301,-0.00174
3857.82211,-0.00176
