12A,
Longitud de onda,Absorbancia
3998.71156,-0.0001
3998.00357,-8e-05
3997.29558,-7e-05
3996.5876,-6e-05
3995.87961,-4e-05
3995.17162,-3e-05
3994.46363,-1e-05
3993.75565,0.0
3993.04766,1e-05
3992.33967,3e-05
3991.63169,4e-05
3990.9237,5e-05
3990.21571,7e-05
3989.50772,8e-05
3988.79974,9e-05
3988.09175,0.0001
3987.38376,0.00011
3986.67578,0.00012
3985.96779,0.00013
3985.2598,0.00014
3984.55181,0.00014
3983.84383,0.00015
3983.13584,0.00015
3982.42785,0.00015
3981.71987,0.00015
3981.01188,0.00015
3980.30389,0.00015
3979.5959,0.00015
3978.88792,0.00015
3978.17993,0.00014
3977.47194,0.00014
3976.76396,0.00013
3976.05597,0.00012
3975.34798,0.00011
3974.63999,0.0001
3973.93201,9e-05
3973.22402,8e-05
3972.51603,7e-05
3971.80805,6e-05
3971.10006,5e-05
3970.39207,4e-05
3969.68408,3e-05
3968.9761,2e-05
3968.26811,2e-05
3967.56012,1e-05
3966.85213,0.0
3966.14415,-1e-05
3965.43616,-2e-05
3964.72817,-2e-05
3964.02019,-3e-05
3963.3122,-3e-05
3962.60421,-4e-05
3961.89622,-4e-05
3961.18824,-5e-05
3960.48025,-5e-05
3959.77226,-6e-05
3959.06428,-6e-05
3958.35629,-6e-05
3957.6483,-7e-05
3956.94031,-7e-05
3956.23233,-8e-05
3955.52434,-8e-05
3954.81635,-8e-05
3954.10837,-9e-05
3953.40038,-9e-05
3952.69239,-9e-05
3951.9844,-0.0001
3951.27642,-0.0001
3950.56843,-0.00011
3949.86044,-0.00011
3949.15246,-0.00012
3948.44447,-0.00013
3947.73648,-0.00013
3947.02849,-0.00014
3946.32051,-0.00014
3945.61252,-0.00015
3944.90453,-0.00015
3944.19655,-0.00016
3943.48856,-0.00016
3942.78057,-0.00017
3942.07258,-0.00017
3941.3646,-0.00017
3940.65661,-0.00018
3939.94862,-0.00018
3939.24064,-0.00018
3938.53265,-0.00018
3937.82466,-0.00018
3937.11667,-0.00018
3936.40869,-0.00018
3935.7007,-0.00018
3934.99271,-0.00018
3934.28472,-0.00017
3933.57674,-0.00017
3932.86875,-0.00017
3932.16076,-0.00016
3931.45278,-0.00016
3930.74479,-0.00016
3930.0368,-0.00015
3929.32881,-0.00015
3928.62083,-0.00014
3927.91284,-0.00014
3927.20485,-0.00013
3926.49687,-0.00012
3925.78888,-0.00012
3925.08089,-0.00011
3924.3729,-0.0001
3923.66492,-9e-05
3922.95693,-9e-05
3922.24894,-8e-05
3921.54096,-7e-05
3920.83297,-7e-05
3920.12498,-6e-05
3919.41699,-5e-05
3918.70901,-5e-05
3918.00102,-4e-05
3917.29303,-4e-05
3916.58505,-4e-05
3915.87706,-3e-05
3915.16907,-3e-05
3914.46108,-3e-05
3913.7531,-3e-05
3913.04511,-3e-05
3912.33712,-3e-05
3911.62914,-3e-05
3910.92115,-4e-05
3910.21316,-4e-05
3909.50517,-4e-05
3908.79719,-5e-05
3908.0892,-5e-05
3907.38121,-5e-05
3906.67323,-6e-05
3905.96524,-6e-05
3905.25725,-7e-05
3904.54926,-7e-05
3903.84128,-8e-05
3903.13329,-8e-05
3902.4253,-9e-05
3901.71731,-9e-05
3901.00933,-0.0001
3900.30134,-0.0001
3899.59335,-0.0001
3898.88537,-0.00011
3898.17738,-0.00011
