12C,
Longitud de onda,Absorbancia
3998.71156,-8e-05
3998.00357,-8e-05
3997.29558,-7e-05
3996.5876,-6e-05
3995.87961,-5e-05
3995.17162,-4e-05
3994.46363,-3e-05
3993.75565,-3e-05
3993.04766,-2e-05
3992.33967,-1e-05
3991.63169,0.0
3990.9237,1e-05
3990.21571,2e-05
3989.50772,2e-05
3988.79974,3e-05
3988.09175,4e-05
3987.38376,4e-05
3986.67578,5e-05
3985.96779,5e-05
3985.2598,6e-05
3984.55181,6e-05
3983.84383,6e-05
3983.13584,7e-05
3982.42785,7e-05
3981.71987,7e-05
3981.01188,6e-05
3980.30389,6e-05
3979.5959,6e-05
3978.88792,5e-05
3978.17993,5e-05
3977.47194,4e-05
3976.76396,4e-05
3976.05597,3e-05
3975.34798,2e-05
3974.63999,2e-05
3973.93201,1e-05
3973.22402,0.0
3972.51603,-1e-05
3971.80805,-1e-05
3971.10006,-2e-05
3970.39207,-3e-05
3969.68408,-3e-05
3968.9761,-4e-05
3968.26811,-4e-05
3967.56012,-5e-05
3966.85213,-5e-05
3966.14415,-6e-05
3965.43616,-6e-05
3964.72817,-6e-05
3964.02019,-6e-05
3963.3122,-7e-05
3962.60421,-7e-05
3961.89622,-7e-05
3961.18824,-7e-05
3960.48025,-7e-05
3959.77226,-7e-05
3959.06428,-8e-05
3958.35629,-8e-05
3957.6483,-8e-05
3956.94031,-8e-05
3956.23233,-9e-05
3955.52434,-9e-05
3954.81635,-9e-05
3954.10837,-0.0001
3953.40038,-0.0001
3952.69239,-0.00011
3951.9844,-0.00011
3951.27642,-0.00012
3950.56843,-0.00013
3949.86044,-0.00013
3949.15246,-0.00014
3948.44447,-0.00015
3947.73648,-0.00016
3947.02849,-0.00016
3946.32051,-0.00017
3945.61252,-0.00018
3944.90453,-0.00018
3944.19655,-0.00019
3943.48856,-0.0002
3942.78057,-0.0002
3942.07258,-0.0002
3941.3646,-0.00021
3940.65661,-0.00021
3939.94862,-0.00021
3939.24064,-0.00021
3938.53265,-0.00021
3937.82466,-0.0002
3937.11667,-0.0002
3936.40869,-0.00019
3935.7007,-0.00019
3934.99271,-0.00018
3934.28472,-0.00017
3933.57674,-0.00016
3932.86875,-0.00016
3932.16076,-0.00015
3931.45278,-0.00014
3930.74479,-0.00013
3930.0368,-0.00012
3929.32881,-0.00011
3928.62083,-0.00011
3927.91284,-0.0001
3927.20485,-0.0001
3926.49687,-9e-05
3925.78888,-9e-05
3925.08089,-9e-05
3924.3729,-9e-05
3923.66492,-9e-05
3922.95693,-9e-05
3922.24894,-9e-05
3921.54096,-0.0001
3920.83297,-0.0001
3920.12498,-0.00011
3919.41699,-0.00011
3918.70901,-0.00012
3918.00102,-0.00012
3917.29303,-0.00013
3916.58505,-0.00014
3915.87706,-0.00014
3915.16907,-0.00015
3914.46108,-0.00015
3913.7531,-0.00015
3913.04511,-0.00016
3912.33712,-0.00016
3911.62914,-0.00016
3910.92115,-0.00016
3910.21316,-0.00016
3909.50517,-0.00016
3908.79719,-0.00016
3908.0892,-0.00016
3907.38121,-0.00016
3906.67323,-0.00016
3905.96524,-0.00016
3905.25725,-0.00016
3904.54926,-0.00016
3903.84128,-0.00016
3903.13329,-0.00016
3902.4253,-0.00017
3901.71731,-0.00017
3901.00933,-0.00017
3900.30134,-0.00017
3899.59335,-0.00017
3898.88537,-0.00018
3898.17738,-0.00018
3897.46939,-0.00018
