26C,
Longitud de onda,Absorbancia
3998.71156,-0.0005
3998.00357,-0.0005
3997.29558,-0.00049
3996.5876,-0.00049
3995.87961,-0.00049
3995.17162,-0.00048
3994.46363,-0.00048
3993.75565,-0.00048
3993.04766,-0.00048
3992.33967,-0.00047
3991.63169,-0.00047
3990.9237,-0.00047
3990.21571,-0.00048
3989.50772,-0.00048
3988.79974,-0.00048
3988.09175,-0.00049
3987.38376,-0.00049
3986.67578,-0.0005
3985.96779,-0.00051
3985.2598,-0.00051
3984.55181,-0.00052
3983.84383,-0.00053
3983.13584,-0.00054
3982.42785,-0.00055
3981.71987,-0.00056
3981.01188,-0.00057
3980.30389,-0.00058
3979.5959,-0.00058
3978.88792,-0.00059
3978.17993,-0.00059
3977.47194,-0.0006
3976.76396,-0.0006
3976.05597,-0.0006
3975.34798,-0.0006
3974.63999,-0.0006
3973.93201,-0.0006
3973.22402,-0.0006
3972.51603,-0.0006
3971.80805,-0.0006
3971.10006,-0.00059
3970.39207,-0.00059
3969.68408,-0.00059
3968.9761,-0.00058
3968.26811,-0.00058
3967.56012,-0.00058
3966.85213,-0.00058
3966.14415,-0.00058
3965.43616,-0.00057
3964.72817,-0.00057
3964.02019,-0.00057
3963.3122,-0.00057
3962.60421,-0.00057
3961.89622,-0.00057
3961.18824,-0.00057
3960.48025,-0.00058
3959.77226,-0.00058
3959.06428,-0.00058
3958.35629,-0.00058
3957.6483,-0.00059
3956.94031,-0.00059
3956.23233,-0.00059
3955.52434,-0.0006
3954.81635,-0.00061
3954.10837,-0.00061
3953.40038,-0.00062
3952.69239,-0.00062
3951.9844,-0.00063
3951.27642,-0.00064
3950.56843,-0.00064
3949.86044,-0.00065
3949.15246,-0.00065
3948.44447,-0.00066
3947.73648,-0.00066
3947.02849,-0.00066
3946.32051,-0.00067
3945.61252,-0.00067
3944.90453,-0.00067
3944.19655,-0.00067
3943.48856,-0.00066
3942.78057,-0.00066
3942.07258,-0.00065
3941.3646,-0.00064
3940.65661,-0.00064
3939.94862,-0.00063
3939.24064,-0.00061
3938.53265,-0.0006
3937.82466,-0.00059
