21C,
Longitud de onda,Absorbancia
3998.71156,-0.0013
3998.00357,-0.0013
3997.29558,-0.0013
3996.5876,-0.0013
3995.87961,-0.0013
3995.17162,-0.0013
3994.46363,-0.0013
3993.75565,-0.0013
3993.04766,-0.0013
3992.33967,-0.0013
3991.63169,-0.0013
3990.9237,-0.00131
3990.21571,-0.00131
3989.50772,-0.00131
3988.79974,-0.00131
3988.09175,-0.00132
3987.38376,-0.00132
3986.67578,-0.00132
3985.96779,-0.00132
3985.2598,-0.00132
3984.55181,-0.00133
3983.84383,-0.00133
3983.13584,-0.00133
3982.42785,-0.00133
3981.71987,-0.00132
3981.01188,-0.00132
3980.30389,-0.00132
3979.5959,-0.00131
3978.88792,-0.00131
3978.17993,-0.0013
3977.47194,-0.0013
3976.76396,-0.00129
3976.05597,-0.00128
3975.34798,-0.00127
3974.63999,-0.00127
3973.93201,-0.00126
3973.22402,-0.00125
3972.51603,-0.00125
3971.80805,-0.00124
3971.10006,-0.00124
3970.39207,-0.00123
3969.68408,-0.00123
3968.9761,-0.00123
3968.26811,-0.00123
3967.56012,-0.00123
3966.85213,-0.00123
3966.14415,-0.00123
3965.43616,-0.00123
3964.72817,-0.00124
3964.02019,-0.00125
3963.3122,-0.00125
3962.60421,-0.00126
3961.89622,-0.00127
3961.18824,-0.00128
3960.48025,-0.00129
3959.77226,-0.0013
3959.06428,-0.00131
3958.35629,-0.00132
3957.6483,-0.00134
3956.94031,-0.00135
3956.23233,-0.00136
3955.52434,-0.00137
3954.81635,-0.00139
3954.10837,-0.0014
3953.40038,-0.00142
3952.69239,-0.00143
3951.9844,-0.00144
3951.27642,-0.00146
3950.56843,-0.00147
3949.86044,-0.00149
3949.15246,-0.0015
3948.44447,-0.00152
3947.73648,-0.00153
3947.02849,-0.00154
3946.32051,-0.00155
3945.61252,-0.00156
3944.90453,-0.00157
3944.19655,-0.00158
3943.48856,-0.00159
3942.78057,-0.00159
3942.07258,-0.0016
3941.3646,-0.0016
3940.65661,-0.0016
3939.94862,-0.0016
3939.24064,-0.0016
3938.53265,-0.0016
3937.82466,-0.0016
3937.11667,-0.0016
3936.40869,-0.0016
3935.7007,-0.00159
3934.99271,-0.00159
3934.28472,-0.00159
3933.57674,-0.00159
3932.86875,-0.00159
3932.16076,-0.00159
3931.45278,-0.00159
3930.74479,-0.00159
3930.0368,-0.00159
3929.32881,-0.0016
3928.62083,-0.0016
3927.91284,-0.0016
