19B,
Longitud de onda,Absorbancia
3732.50838,-0.00214
3731.80039,-0.00214
3731.09241,-0.00214
3730.38442,-0.00214
3729.67643,-0.00215
3728.96844,-0.00215
3728.26046,-0.00215
3727.55247,-0.00216
3726.84448,-0.00216
3726.1365,-0.00217
3725.42851,-0.00217
3724.72052,-0.00218
3724.01253,-0.00219
3723.30455,-0.0022
3722.59656,-0.00221
3721.88857,-0.00222
3721.18059,-0.00224
3720.4726,-0.00225
3719.76461,-0.00227
3719.05662,-0.00229
3718.34864,-0.00231
3717.64065,-0.00232
3716.93266,-0.00235
3716.22468,-0.00237
3715.51669,-0.00239
3714.8087,-0.00241
3714.10071,-0.00243
3713.39273,-0.00246
3712.68474,-0.00248
3711.97675,-0.00251
3711.26877,-0.00253
3710.56078,-0.00256
3709.85279,-0.00258
3709.1448,-0.00261
3708.43682,-0.00263
3707.72883,-0.00265
3707.02084,-0.00267
3706.31285,-0.0027
3705.60487,-0.00272
3704.89688,-0.00274
3704.18889,-0.00276
3703.48091,-0.00278
3702.77292,-0.00279
3702.06493,-0.00281
3701.35694,-0.00283
3700.64896,-0.00285
3699.94097,-0.00287
3699.23298,-0.00289
3698.525,-0.00292
3697.81701,-0.00294
3697.10902,-0.00296
3696.40103,-0.00299
3695.69305,-0.00301
3694.98506,-0.00304
3694.27707,-0.00307
3693.56909,-0.0031
3692.8611,-0.00314
3692.15311,-0.00317
3691.44512,-0.00321
3690.73714,-0.00325
3690.02915,-0.00329
3689.32116,-0.00334
3688.61318,-0.00338
3687.90519,-0.00343
3687.1972,-0.00348
3686.48921,-0.00354
3685.78123,-0.00359
3685.07324,-0.00364
3684.36525,-0.0037
3683.65727,-0.00376
3682.94928,-0.00381
3682.24129,-0.00387
3681.5333,-0.00393
3680.82532,-0.00399
3680.11733,-0.00406
3679.40934,-0.00412
3678.70136,-0.00419
3677.99337,-0.00426
3677.28538,-0.00434
3676.57739,-0.00442
3675.86941,-0.00449
3675.16142,-0.00458
3674.45343,-0.00466
3673.74544,-0.00475
3673.03746,-0.00483
3672.32947,-0.00492
3671.62148,-0.00501
3670.9135,-0.00509
3670.20551,-0.00518
3669.49752,-0.00526
3668.78953,-0.00535
3668.08155,-0.00543
3667.37356,-0.0055
3666.66557,-0.00558
3665.95759,-0.00566
3665.2496,-0.00573
3664.54161,-0.00581
3663.83362,-0.00588
3663.12564,-0.00595
3662.41765,-0.00603
3661.70966,-0.0061
3661.00168,-0.00618
3660.29369,-0.00626
3659.5857,-0.00634
3658.87771,-0.00643
3658.16973,-0.00652
3657.46174,-0.00661
3656.75375,-0.00671
3656.04577,-0.00681
3655.33778,-0.00691
3654.62979,-0.00702
3653.9218,-0.00713
3653.21382,-0.00724
3652.50583,-0.00736
3651.79784,-0.00747
3651.08986,-0.00759
3650.38187,-0.00771
3649.67388,-0.00783
3648.96589,-0.00794
3648.25791,-0.00806
3647.54992,-0.00818
3646.84193,-0.00829
3646.13395,-0.0084
3645.42596,-0.00851
3644.71797,-0.00861
3644.00998,-0.00872
3643.302,-0.00882
3642.59401,-0.00891
3641.88602,-0.009
3641.17803,-0.00909
3640.47005,-0.00918
3639.76206,-0.00927
3639.05407,-0.00935
3638.34609,-0.00943
3637.6381,-0.00951
3636.93011,-0.00959
3636.22212,-0.00967
3635.51414,-0.00976
3634.80615,-0.00984
3634.09816,-0.00992
3633.39018,-0.01
3632.68219,-0.01009
3631.9742,-0.01017
3631.26621,-0.01026
3630.55823,-0.01034
3629.85024,-0.01043
3629.14225,-0.01052
3628.43427,-0.0106
3627.72628,-0.01069
3627.01829,-0.01077
3626.3103,-0.01086
3625.60232,-0.01094
3624.89433,-0.01102
3624.18634,-0.01109
3623.47836,-0.01117
3622.77037,-0.01124
3622.06238,-0.01131
3621.35439,-0.01138
3620.64641,-0.01144
3619.93842,-0.0115
3619.23043,-0.01156
3618.52245,-0.01162
3617.81446,-0.01168
3617.10647,-0.01173
3616.39848,-0.01179
3615.6905,-0.01184
3614.98251,-0.01188
3614.27452,-0.01193
3613.56654,-0.01197
3612.85855,-0.01202
3612.15056,-0.01206
3611.44257,-0.01209
3610.73459,-0.01213
3610.0266,-0.01216
3609.31861,-0.01219
3608.61063,-0.01221
3607.90264,-0.01224
3607.19465,-0.01226
3606.48666,-0.01228
3605.77868,-0.0123
3605.07069,-0.01232
3604.3627,-0.01234
3603.65471,-0.01236
3602.94673,-0.01238
3602.23874,-0.0124
3601.53075,-0.01241
3600.82277,-0.01243
3600.11478,-0.01245
3599.40679,-0.01247
3598.6988,-0.01249
3597.99082,-0.01251
3597.28283,-0.01254
3596.57484,-0.01256
3595.86686,-0.01258
3595.15887,-0.01261
3594.45088,-0.01264
3593.74289,-0.01266
3593.03491,-0.01269
3592.32692,-0.01272
3591.61893,-0.01274
3590.91095,-0.01277
3590.20296,-0.0128
