26A,
Longitud de onda,Absorbancia
3998.71156,-0.00035
3998.00357,-0.00035
3997.29558,-0.00035
3996.5876,-0.00034
3995.87961,-0.00034
3995.17162,-0.00034
3994.46363,-0.00034
3993.75565,-0.00033
3993.04766,-0.00033
3992.33967,-0.00033
3991.63169,-0.00033
3990.9237,-0.00033
3990.21571,-0.00033
3989.50772,-0.00032
3988.79974,-0.00032
3988.09175,-0.00032
3987.38376,-0.00033
3986.67578,-0.00033
3985.96779,-0.00033
3985.2598,-0.00033
3984.55181,-0.00034
3983.84383,-0.00034
3983.13584,-0.00035
3982.42785,-0.00035
3981.71987,-0.00036
3981.01188,-0.00037
3980.30389,-0.00037
3979.5959,-0.00038
3978.88792,-0.00039
3978.17993,-0.00039
3977.47194,-0.0004
3976.76396,-0.0004
3976.05597,-0.00041
3975.34798,-0.00042
3974.63999,-0.00042
3973.93201,-0.00043
3973.22402,-0.00043
3972.51603,-0.00044
3971.80805,-0.00044
3971.10006,-0.00045
3970.39207,-0.00045
3969.68408,-0.00045
3968.9761,-0.00046
3968.26811,-0.00046
3967.56012,-0.00046
3966.85213,-0.00047
3966.14415,-0.00047
3965.43616,-0.00047
3964.72817,-0.00047
3964.02019,-0.00047
3963.3122,-0.00047
3962.60421,-0.00047
3961.89622,-0.00046
3961.18824,-0.00046
3960.48025,-0.00046
3959.77226,-0.00045
3959.06428,-0.00045
3958.35629,-0.00045
3957.6483,-0.00044
3956.94031,-0.00044
3956.23233,-0.00044
3955.52434,-0.00043
3954.81635,-0.00043
3954.10837,-0.00043
3953.40038,-0.00043
3952.69239,-0.00043
3951.9844,-0.00043
3951.27642,-0.00043
3950.56843,-0.00043
3949.86044,-0.00043
3949.15246,-0.00043
3948.44447,-0.00043
3947.73648,-0.00044
3947.02849,-0.00044
3946.32051,-0.00044
3945.61252,-0.00044
3944.90453,-0.00045
3944.19655,-0.00045
3943.48856,-0.00045
3942.78057,-0.00045
3942.07258,-0.00045
3941.3646,-0.00045
3940.65661,-0.00045
3939.94862,-0.00044
3939.24064,-0.00044
3938.53265,-0.00044
3937.82466,-0.00043
3937.11667,-0.00043
3936.40869,-0.00042
3935.7007,-0.00041
3934.99271,-0.0004
3934.28472,-0.00039
3933.57674,-0.00039
3932.86875,-0.00038
3932.16076,-0.00037
3931.45278,-0.00036
3930.74479,-0.00035
3930.0368,-0.00034
3929.32881,-0.00034
3928.62083,-0.00033
3927.91284,-0.00033
3927.20485,-0.00033
3926.49687,-0.00032
3925.78888,-0.00032
3925.08089,-0.00033
3924.3729,-0.00033
3923.66492,-0.00033
3922.95693,-0.00033
3922.24894,-0.00034
3921.54096,-0.00034
3920.83297,-0.00035
3920.12498,-0.00035
3919.41699,-0.00036
3918.70901,-0.00036
3918.00102,-0.00037
3917.29303,-0.00037
3916.58505,-0.00037
3915.87706,-0.00037
3915.16907,-0.00038
3914.46108,-0.00038
3913.7531,-0.00038
3913.04511,-0.00038
3912.33712,-0.00037
3911.62914,-0.00037
3910.92115,-0.00037
3910.21316,-0.00036
3909.50517,-0.00036
3908.79719,-0.00035
3908.0892,-0.00035
3907.38121,-0.00034
3906.67323,-0.00033
3905.96524,-0.00032
3905.25725,-0.00032
3904.54926,-0.00031
3903.84128,-0.0003
3903.13329,-0.00029
3902.4253,-0.00028
3901.71731,-0.00027
3901.00933,-0.00026
3900.30134,-0.00025
3899.59335,-0.00024
3898.88537,-0.00023
3898.17738,-0.00022
3897.46939,-0.00021
3896.7614,-0.0002
3896.05342,-0.0002
3895.34543,-0.00019
3894.63744,-0.00018
3893.92946,-0.00018
3893.22147,-0.00017
3892.51348,-0.00017
3891.80549,-0.00016
3891.09751,-0.00016
3890.38952,-0.00015
3889.68153,-0.00015
3888.97355,-0.00015
3888.26556,-0.00014
3887.55757,-0.00014
3886.84958,-0.00014
3886.1416,-0.00013
3885.43361,-0.00013
3884.72562,-0.00013
3884.01764,-0.00012
3883.30965,-0.00012
3882.60166,-0.00011
3881.89367,-0.00011
3881.18569,-0.0001
3880.4777,-9e-05
3879.76971,-8e-05
3879.06173,-7e-05
3878.35374,-6e-05
3877.64575,-5e-05
3876.93776,-3e-05
3876.22978,-2e-05
3875.52179,-1e-05
3874.8138,1e-05
3874.10582,2e-05
3873.39783,3e-05
3872.68984,4e-05
3871.98185,5e-05
3871.27387,6e-05
3870.56588,7e-05
3869.85789,8e-05
3869.1499,8e-05
3868.44192,8e-05
3867.73393,9e-05
3867.02594,8e-05
3866.31796,8e-05
3865.60997,8e-05
3864.90198,7e-05
3864.19399,6e-05
3863.48601,5e-05
3862.77802,4e-05
3862.07003,4e-05
3861.36205,3e-05
3860.65406,2e-05
3859.94607,1e-05
3859.23808,0.0
3858.5301,-1e-05
3857.82211,-1e-05
3857.11412,-2e-05
3856.40614,-2e-05
3855.69815,-3e-05
3854.99016,-3e-05
3854.28217,-3e-05
3853.57419,-4e-05
3852.8662,-4e-05
3852.15821,-4e-05
3851.45023,-4e-05
3850.74224,-4e-05
3850.03425,-4e-05
3849.32626,-4e-05
3848.61828,-4e-05
3847.91029,-5e-05
3847.2023,-5e-05
3846.49432,-5e-05
3845.78633,-5e-05
3845.07834,-5e-05
3844.37035,-5e-05
3843.66237,-5e-05
3842.95438,-5e-05
3842.24639,-5e-05
3841.53841,-5e-05
3840.83042,-5e-05
3840.12243,-5e-05
3839.41444,-5e-05
3838.70646,-5e-05
3837.99847,-5e-05
3837.29048,-5e-05
3836.58249,-5e-05
3835.87451,-5e-05
3835.16652,-5e-05
3834.45853,-5e-05
3833.75055,-6e-05
3833.04256,-6e-05
3832.33457,-6e-05
3831.62658,-6e-05
3830.9186,-7e-05
3830.21061,-7e-05
3829.50262,-7e-05
3828.79464,-7e-05
3828.08665,-8e-05
3827.37866,-8e-05
3826.67067,-8e-05
3825.96269,-8e-05
3825.2547,-8e-05
3824.54671,-8e-05
3823.83873,-8e-05
3823.13074,-9e-05
3822.42275,-9e-05
3821.71476,-9e-05
3821.00678,-9e-05
3820.29879,-9e-05
3819.5908,-0.0001
3818.88282,-0.0001
3818.17483,-0.00011
3817.46684,-0.00011
3816.75885,-0.00012
3816.05087,-0.00013
3815.34288,-0.00013
3814.63489,-0.00014
3813.92691,-0.00015
3813.21892,-0.00015
3812.51093,-0.00016
3811.80294,-0.00016
3811.09496,-0.00017
3810.38697,-0.00017
3809.67898,-0.00017
3808.971,-0.00017
3808.26301,-0.00018
3807.55502,-0.00018
3806.84703,-0.00017
3806.13905,-0.00017
3805.43106,-0.00017
3804.72307,-0.00017
3804.01508,-0.00017
3803.3071,-0.00017
3802.59911,-0.00017
3801.89112,-0.00017
3801.18314,-0.00017
3800.47515,-0.00017
3799.76716,-0.00018
3799.05917,-0.00019
3798.35119,-0.0002
3797.6432,-0.00021
3796.93521,-0.00022
3796.22723,-0.00024
3795.51924,-0.00026
3794.81125,-0.00028
3794.10326,-0.0003
3793.39528,-0.00032
3792.68729,-0.00034
3791.9793,-0.00036
3791.27132,-0.00038
3790.56333,-0.00041
3789.85534,-0.00043
3789.14735,-0.00045
3788.43937,-0.00047
3787.73138,-0.00049
3787.02339,-0.00051
3786.31541,-0.00053
3785.60742,-0.00055
3784.89943,-0.00056
3784.19144,-0.00058
3783.48346,-0.00059
3782.77547,-0.0006
3782.06748,-0.00061
3781.3595,-0.00062
3780.65151,-0.00062
3779.94352,-0.00063
3779.23553,-0.00063
3778.52755,-0.00063
