22C,
Longitud de onda,Absorbancia
3886.1416,-0.00163
3885.43361,-0.00163
3884.72562,-0.00163
3884.01764,-0.00163
3883.30965,-0.00163
3882.60166,-0.00163
3881.89367,-0.00164
3881.18569,-0.00164
3880.4777,-0.00164
3879.76971,-0.00165
3879.06173,-0.00165
3878.35374,-0.00165
3877.64575,-0.00165
3876.93776,-0.00166
3876.22978,-0.00166
3875.52179,-0.00166
3874.8138,-0.00166
3874.10582,-0.00167
3873.39783,-0.00167
3872.68984,-0.00167
3871.98185,-0.00167
3871.27387,-0.00168
3870.56588,-0.00168
3869.85789,-0.00168
3869.1499,-0.00168
3868.44192,-0.00169
3867.73393,-0.00169
3867.02594,-0.00169
3866.31796,-0.00169
3865.60997,-0.00169
3864.90198,-0.00169
3864.19399,-0.00169
3863.48601,-0.00168
3862.77802,-0.00168
3862.07003,-0.00168
3861.36205,-0.00167
3860.65406,-0.00167
3859.94607,-0.00167
3859.23808,-0.00166
3858.5301,-0.00166
3857.82211,-0.00165
3857.11412,-0.00165
3856.40614,-0.00165
3855.69815,-0.00164
3854.99016,-0.00164
3854.28217,-0.00164
3853.57419,-0.00163
3852.8662,-0.00163
3852.15821,-0.00163
3851.45023,-0.00163
3850.74224,-0.00162
3850.03425,-0.00162
3849.32626,-0.00162
3848.61828,-0.00161
3847.91029,-0.00161
3847.2023,-0.0016
3846.49432,-0.0016
3845.78633,-0.00159
3845.07834,-0.00159
3844.37035,-0.00159
3843.66237,-0.00158
3842.95438,-0.00158
3842.24639,-0.00158
3841.53841,-0.00157
3840.83042,-0.00157
3840.12243,-0.00157
3839.41444,-0.00157
3838.70646,-0.00157
3837.99847,-0.00157
3837.29048,-0.00157
3836.58249,-0.00157
3835.87451,-0.00157
3835.16652,-0.00157
3834.45853,-0.00157
3833.75055,-0.00157
3833.04256,-0.00157
3832.33457,-0.00156
3831.62658,-0.00156
3830.9186,-0.00155
3830.21061,-0.00155
3829.50262,-0.00154
3828.79464,-0.00154
3828.08665,-0.00153
3827.37866,-0.00152
3826.67067,-0.00152
3825.96269,-0.00151
3825.2547,-0.0015
3824.54671,-0.0015
3823.83873,-0.00149
3823.13074,-0.00149
3822.42275,-0.00149
3821.71476,-0.00149
3821.00678,-0.00149
3820.29879,-0.00149
3819.5908,-0.00149
3818.88282,-0.0015
3818.17483,-0.0015
3817.46684,-0.00151
3816.75885,-0.00152
