1A,
Longitud de onda,Absorbancia
3998.71156,-0.00131
3998.00357,-0.0013
3997.29558,-0.00129
3996.5876,-0.00128
3995.87961,-0.00127
3995.17162,-0.00127
3994.46363,-0.00126
3993.75565,-0.00125
3993.04766,-0.00125
3992.33967,-0.00124
3991.63169,-0.00124
3990.9237,-0.00123
3990.21571,-0.00123
3989.50772,-0.00123
3988.79974,-0.00123
3988.09175,-0.00123
3987.38376,-0.00123
3986.67578,-0.00124
3985.96779,-0.00124
3985.2598,-0.00125
3984.55181,-0.00126
3983.84383,-0.00127
3983.13584,-0.00128
3982.42785,-0.00129
3981.71987,-0.0013
3981.01188,-0.00131
3980.30389,-0.00132
3979.5959,-0.00133
3978.88792,-0.00134
3978.17993,-0.00135
3977.47194,-0.00135
3976.76396,-0.00136
3976.05597,-0.00137
3975.34798,-0.00138
3974.63999,-0.00138
3973.93201,-0.00139
3973.22402,-0.0014
3972.51603,-0.0014
3971.80805,-0.00141
3971.10006,-0.00142
3970.39207,-0.00142
3969.68408,-0.00143
3968.9761,-0.00143
3968.26811,-0.00144
3967.56012,-0.00145
3966.85213,-0.00145
3966.14415,-0.00146
3965.43616,-0.00147
3964.72817,-0.00148
3964.02019,-0.00149
3963.3122,-0.0015
3962.60421,-0.00151
3961.89622,-0.00152
3961.18824,-0.00153
3960.48025,-0.00154
3959.77226,-0.00155
3959.06428,-0.00156
3958.35629,-0.00156
3957.6483,-0.00157
3956.94031,-0.00158
3956.23233,-0.00159
3955.52434,-0.0016
3954.81635,-0.00161
3954.10837,-0.00162
3953.40038,-0.00163
3952.69239,-0.00164
3951.9844,-0.00164
3951.27642,-0.00165
3950.56843,-0.00166
3949.86044,-0.00167
3949.15246,-0.00167
3948.44447,-0.00168
3947.73648,-0.00168
3947.02849,-0.00169
3946.32051,-0.00169
3945.61252,-0.00169
3944.90453,-0.00169
3944.19655,-0.00169
3943.48856,-0.00169
3942.78057,-0.00169
3942.07258,-0.00169
3941.3646,-0.00169
3940.65661,-0.00169
3939.94862,-0.00169
3939.24064,-0.00169
3938.53265,-0.00169
3937.82466,-0.00169
3937.11667,-0.00169
3936.40869,-0.00169
3935.7007,-0.0017
3934.99271,-0.0017
3934.28472,-0.00171
3933.57674,-0.00171
3932.86875,-0.00172
3932.16076,-0.00172
3931.45278,-0.00173
3930.74479,-0.00174
3930.0368,-0.00175
3929.32881,-0.00175
3928.62083,-0.00176
3927.91284,-0.00177
3927.20485,-0.00178
3926.49687,-0.00179
3925.78888,-0.00179
3925.08089,-0.0018
3924.3729,-0.00181
3923.66492,-0.00181
3922.95693,-0.00181
3922.24894,-0.00182
3921.54096,-0.00182
3920.83297,-0.00182
3920.12498,-0.00182
3919.41699,-0.00181
3918.70901,-0.00181
3918.00102,-0.00181
3917.29303,-0.0018
3916.58505,-0.0018
3915.87706,-0.00179
3915.16907,-0.00178
3914.46108,-0.00178
3913.7531,-0.00177
3913.04511,-0.00176
3912.33712,-0.00176
3911.62914,-0.00175
3910.92115,-0.00175
3910.21316,-0.00175
3909.50517,-0.00175
3908.79719,-0.00175
3908.0892,-0.00175
3907.38121,-0.00176
3906.67323,-0.00177
