8A,
Longitud de onda,Absorbancia
3998.71156,-0.00025
3998.00357,-0.00025
3997.29558,-0.00025
3996.5876,-0.00025
3995.87961,-0.00025
3995.17162,-0.00026
3994.46363,-0.00026
3993.75565,-0.00026
3993.04766,-0.00026
3992.33967,-0.00026
3991.63169,-0.00027
3990.9237,-0.00027
3990.21571,-0.00027
3989.50772,-0.00027
3988.79974,-0.00028
3988.09175,-0.00028
3987.38376,-0.00028
3986.67578,-0.00029
3985.96779,-0.00029
3985.2598,-0.0003
3984.55181,-0.0003
3983.84383,-0.00031
3983.13584,-0.00031
3982.42785,-0.00032
3981.71987,-0.00032
3981.01188,-0.00033
3980.30389,-0.00034
3979.5959,-0.00034
3978.88792,-0.00035
3978.17993,-0.00036
3977.47194,-0.00036
3976.76396,-0.00037
3976.05597,-0.00037
3975.34798,-0.00038
3974.63999,-0.00038
3973.93201,-0.00039
3973.22402,-0.00039
3972.51603,-0.0004
3971.80805,-0.0004
3971.10006,-0.00041
3970.39207,-0.00041
3969.68408,-0.00041
3968.9761,-0.00041
3968.26811,-0.00042
3967.56012,-0.00042
3966.85213,-0.00042
3966.14415,-0.00042
3965.43616,-0.00043
3964.72817,-0.00043
3964.02019,-0.00044
3963.3122,-0.00044
3962.60421,-0.00045
3961.89622,-0.00045
3961.18824,-0.00046
3960.48025,-0.00047
3959.77226,-0.00048
3959.06428,-0.00049
3958.35629,-0.00051
3957.6483,-0.00052
3956.94031,-0.00053
3956.23233,-0.00055
3955.52434,-0.00056
3954.81635,-0.00058
3954.10837,-0.00059
3953.40038,-0.00061
3952.69239,-0.00062
3951.9844,-0.00063
3951.27642,-0.00065
3950.56843,-0.00066
3949.86044,-0.00067
3949.15246,-0.00067
3948.44447,-0.00068
3947.73648,-0.00069
3947.02849,-0.00069
3946.32051,-0.00069
3945.61252,-0.00069
3944.90453,-0.00069
3944.19655,-0.00069
3943.48856,-0.00069
3942.78057,-0.00069
3942.07258,-0.00069
3941.3646,-0.00068
3940.65661,-0.00068
3939.94862,-0.00067
3939.24064,-0.00067
3938.53265,-0.00067
3937.82466,-0.00066
3937.11667,-0.00066
3936.40869,-0.00065
3935.7007,-0.00065
3934.99271,-0.00065
3934.28472,-0.00065
3933.57674,-0.00065
3932.86875,-0.00065
3932.16076,-0.00065
3931.45278,-0.00065
3930.74479,-0.00065
3930.0368,-0.00065
3929.32881,-0.00066
3928.62083,-0.00066
3927.91284,-0.00066
3927.20485,-0.00066
3926.49687,-0.00067
3925.78888,-0.00067
3925.08089,-0.00067
3924.3729,-0.00067
3923.66492,-0.00067
3922.95693,-0.00068
3922.24894,-0.00068
3921.54096,-0.00068
3920.83297,-0.00068
3920.12498,-0.00068
3919.41699,-0.00068
3918.70901,-0.00068
3918.00102,-0.00068
3917.29303,-0.00068
3916.58505,-0.00068
3915.87706,-0.00068
3915.16907,-0.00068
3914.46108,-0.00068
3913.7531,-0.00067
3913.04511,-0.00067
3912.33712,-0.00067
3911.62914,-0.00067
3910.92115,-0.00067
3910.21316,-0.00067
3909.50517,-0.00067
3908.79719,-0.00067
3908.0892,-0.00067
3907.38121,-0.00068
3906.67323,-0.00069
3905.96524,-0.00069
3905.25725,-0.0007
3904.54926,-0.00072
3903.84128,-0.00073
3903.13329,-0.00074
3902.4253,-0.00076
3901.71731,-0.00077
3901.00933,-0.00079
3900.30134,-0.00081
3899.59335,-0.00082
3898.88537,-0.00084
3898.17738,-0.00085
3897.46939,-0.00087
3896.7614,-0.00088
3896.05342,-0.00089
3895.34543,-0.0009
3894.63744,-0.00091
3893.92946,-0.00091
3893.22147,-0.00092
3892.51348,-0.00092
3891.80549,-0.00093
3891.09751,-0.00093
3890.38952,-0.00093
3889.68153,-0.00093
3888.97355,-0.00093
3888.26556,-0.00093
3887.55757,-0.00093
3886.84958,-0.00093
3886.1416,-0.00093
3885.43361,-0.00092
3884.72562,-0.00092
3884.01764,-0.00092
3883.30965,-0.00091
3882.60166,-0.00091
3881.89367,-0.0009
3881.18569,-0.0009
3880.4777,-0.00089
3879.76971,-0.00089
3879.06173,-0.00088
3878.35374,-0.00088
3877.64575,-0.00087
3876.93776,-0.00087
3876.22978,-0.00086
3875.52179,-0.00086
3874.8138,-0.00085
3874.10582,-0.00085
3873.39783,-0.00084
3872.68984,-0.00084
3871.98185,-0.00084
3871.27387,-0.00083
3870.56588,-0.00083
3869.85789,-0.00083
3869.1499,-0.00083
3868.44192,-0.00083
3867.73393,-0.00083
3867.02594,-0.00084
3866.31796,-0.00084
3865.60997,-0.00084
3864.90198,-0.00084
3864.19399,-0.00085
3863.48601,-0.00085
3862.77802,-0.00085
3862.07003,-0.00085
3861.36205,-0.00086
3860.65406,-0.00086
3859.94607,-0.00086
3859.23808,-0.00086
3858.5301,-0.00086
3857.82211,-0.00086
3857.11412,-0.00087
3856.40614,-0.00087
3855.69815,-0.00087
3854.99016,-0.00088
3854.28217,-0.00088
3853.57419,-0.00089
3852.8662,-0.00089
3852.15821,-0.0009
3851.45023,-0.00091
3850.74224,-0.00092
3850.03425,-0.00093
3849.32626,-0.00093
3848.61828,-0.00094
3847.91029,-0.00094
3847.2023,-0.00095
3846.49432,-0.00095
3845.78633,-0.00095
3845.07834,-0.00095
3844.37035,-0.00095
3843.66237,-0.00095
3842.95438,-0.00095
3842.24639,-0.00095
3841.53841,-0.00094
3840.83042,-0.00094
3840.12243,-0.00094
3839.41444,-0.00094
3838.70646,-0.00093
3837.99847,-0.00093
3837.29048,-0.00093
3836.58249,-0.00092
3835.87451,-0.00092
3835.16652,-0.00092
3834.45853,-0.00091
3833.75055,-0.00091
3833.04256,-0.0009
3832.33457,-0.0009
3831.62658,-0.00089
3830.9186,-0.00089
3830.21061,-0.00088
3829.50262,-0.00087
3828.79464,-0.00086
3828.08665,-0.00086
3827.37866,-0.00085
3826.67067,-0.00084
3825.96269,-0.00083
3825.2547,-0.00083
3824.54671,-0.00082
3823.83873,-0.00082
3823.13074,-0.00081
3822.42275,-0.00081
3821.71476,-0.00081
3821.00678,-0.00081
3820.29879,-0.00081
3819.5908,-0.00082
3818.88282,-0.00082
3818.17483,-0.00083
3817.46684,-0.00083
3816.75885,-0.00084
3816.05087,-0.00084
3815.34288,-0.00085
3814.63489,-0.00085
3813.92691,-0.00086
3813.21892,-0.00086
3812.51093,-0.00086
3811.80294,-0.00086
3811.09496,-0.00087
3810.38697,-0.00087
3809.67898,-0.00087
3808.971,-0.00087
3808.26301,-0.00087
3807.55502,-0.00087
3806.84703,-0.00087
3806.13905,-0.00087
3805.43106,-0.00087
3804.72307,-0.00087
3804.01508,-0.00088
3803.3071,-0.00088
3802.59911,-0.00088
3801.89112,-0.00089
3801.18314,-0.0009
3800.47515,-0.0009
3799.76716,-0.00091
3799.05917,-0.00091
3798.35119,-0.00092
3797.6432,-0.00092
3796.93521,-0.00092
3796.22723,-0.00093
3795.51924,-0.00093
3794.81125,-0.00093
3794.10326,-0.00093
3793.39528,-0.00092
3792.68729,-0.00092
3791.9793,-0.00092
3791.27132,-0.00091
3790.56333,-0.00091
3789.85534,-0.0009
3789.14735,-0.0009
3788.43937,-0.00089
3787.73138,-0.00089
3787.02339,-0.00088
3786.31541,-0.00088
3785.60742,-0.00087
3784.89943,-0.00087
3784.19144,-0.00086
3783.48346,-0.00086
3782.77547,-0.00085
3782.06748,-0.00085
3781.3595,-0.00084
3780.65151,-0.00084
3779.94352,-0.00083
3779.23553,-0.00083
3778.52755,-0.00082
3777.81956,-0.00082
3777.11157,-0.00081
3776.40359,-0.00081
3775.6956,-0.00081
3774.98761,-0.0008
3774.27962,-0.0008
3773.57164,-0.0008
3772.86365,-0.0008
3772.15566,-0.0008
3771.44767,-0.0008
3770.73969,-0.00081
3770.0317,-0.00081
3769.32371,-0.00082
3768.61573,-0.00083
3767.90774,-0.00084
3767.19975,-0.00085
3766.49176,-0.00086
3765.78378,-0.00088
3765.07579,-0.00089
3764.3678,-0.00091
3763.65982,-0.00093
3762.95183,-0.00094
3762.24384,-0.00096
3761.53585,-0.00098
3760.82787,-0.00099
3760.11988,-0.00101
3759.41189,-0.00103
3758.70391,-0.00105
3757.99592,-0.00107
3757.28793,-0.00109
3756.57994,-0.00111
3755.87196,-0.00113
3755.16397,-0.00115
3754.45598,-0.00117
3753.748,-0.0012
3753.04001,-0.00122
3752.33202,-0.00125
3751.62403,-0.00128
3750.91605,-0.00131
3750.20806,-0.00134
3749.50007,-0.00137
3748.79209,-0.0014
3748.0841,-0.00143
3747.37611,-0.00147
3746.66812,-0.0015
3745.96014,-0.00153
3745.25215,-0.00156
3744.54416,-0.00159
3743.83618,-0.00162
3743.12819,-0.00165
3742.4202,-0.00167
3741.71221,-0.0017
3741.00423,-0.00172
3740.29624,-0.00173
3739.58825,-0.00175
3738.88026,-0.00176
3738.17228,-0.00178
3737.46429,-0.00179
3736.7563,-0.0018
3736.04832,-0.0018
3735.34033,-0.00181
3734.63234,-0.00181
3733.92435,-0.00182
3733.21637,-0.00182
3732.50838,-0.00182
3731.80039,-0.00182
3731.09241,-0.00182
3730.38442,-0.00182
3729.67643,-0.00182
3728.96844,-0.00181
3728.26046,-0.00181
3727.55247,-0.0018
3726.84448,-0.00179
3726.1365,-0.00178
3725.42851,-0.00178
3724.72052,-0.00177
3724.01253,-0.00176
3723.30455,-0.00176
3722.59656,-0.00175
3721.88857,-0.00175
3721.18059,-0.00175
3720.4726,-0.00175
3719.76461,-0.00175
3719.05662,-0.00176
3718.34864,-0.00177
3717.64065,-0.00177
3716.93266,-0.00179
3716.22468,-0.0018
3715.51669,-0.00181
3714.8087,-0.00183
3714.10071,-0.00185
3713.39273,-0.00186
3712.68474,-0.00189
3711.97675,-0.00191
3711.26877,-0.00193
3710.56078,-0.00196
3709.85279,-0.00199
3709.1448,-0.00201
3708.43682,-0.00204
3707.72883,-0.00207
3707.02084,-0.0021
3706.31285,-0.00212
3705.60487,-0.00215
3704.89688,-0.00218
3704.18889,-0.0022
3703.48091,-0.00223
3702.77292,-0.00226
3702.06493,-0.00228
3701.35694,-0.00231
3700.64896,-0.00233
3699.94097,-0.00236
3699.23298,-0.00238
3698.525,-0.00241
3697.81701,-0.00244
3697.10902,-0.00246
3696.40103,-0.00249
3695.69305,-0.00252
3694.98506,-0.00255
3694.27707,-0.00259
3693.56909,-0.00262
3692.8611,-0.00266
3692.15311,-0.0027
3691.44512,-0.00274
3690.73714,-0.00279
3690.02915,-0.00284
3689.32116,-0.00289
3688.61318,-0.00294
3687.90519,-0.00299
3687.1972,-0.00305
3686.48921,-0.0031
3685.78123,-0.00316
3685.07324,-0.00322
3684.36525,-0.00327
3683.65727,-0.00333
3682.94928,-0.00338
3682.24129,-0.00344
3681.5333,-0.00349
3680.82532,-0.00354
3680.11733,-0.0036
3679.40934,-0.00365
3678.70136,-0.00371
3677.99337,-0.00377
3677.28538,-0.00383
3676.57739,-0.0039
3675.86941,-0.00396
3675.16142,-0.00403
3674.45343,-0.00411
3673.74544,-0.00419
3673.03746,-0.00427
3672.32947,-0.00435
3671.62148,-0.00444
3670.9135,-0.00452
3670.20551,-0.00461
3669.49752,-0.0047
3668.78953,-0.00479
3668.08155,-0.00488
