22B,
Longitud de onda,Absorbancia
3998.71156,-0.00112
3998.00357,-0.00112
3997.29558,-0.00113
3996.5876,-0.00113
3995.87961,-0.00113
3995.17162,-0.00113
3994.46363,-0.00114
3993.75565,-0.00114
3993.04766,-0.00114
3992.33967,-0.00115
3991.63169,-0.00115
3990.9237,-0.00116
3990.21571,-0.00117
3989.50772,-0.00118
3988.79974,-0.00118
3988.09175,-0.00119
3987.38376,-0.0012
3986.67578,-0.00121
3985.96779,-0.00122
3985.2598,-0.00123
3984.55181,-0.00124
3983.84383,-0.00124
3983.13584,-0.00125
3982.42785,-0.00126
3981.71987,-0.00126
3981.01188,-0.00126
3980.30389,-0.00127
3979.5959,-0.00127
3978.88792,-0.00127
3978.17993,-0.00127
3977.47194,-0.00126
3976.76396,-0.00126
3976.05597,-0.00126
3975.34798,-0.00126
3974.63999,-0.00125
3973.93201,-0.00125
3973.22402,-0.00125
3972.51603,-0.00124
3971.80805,-0.00124
3971.10006,-0.00124
3970.39207,-0.00124
3969.68408,-0.00123
3968.9761,-0.00123
3968.26811,-0.00123
3967.56012,-0.00123
3966.85213,-0.00123
3966.14415,-0.00123
3965.43616,-0.00123
3964.72817,-0.00124
3964.02019,-0.00124
3963.3122,-0.00124
3962.60421,-0.00124
3961.89622,-0.00124
3961.18824,-0.00124
3960.48025,-0.00125
3959.77226,-0.00125
3959.06428,-0.00125
3958.35629,-0.00125
3957.6483,-0.00126
3956.94031,-0.00126
3956.23233,-0.00126
3955.52434,-0.00127
3954.81635,-0.00127
3954.10837,-0.00128
3953.40038,-0.00129
3952.69239,-0.0013
3951.9844,-0.00131
3951.27642,-0.00132
3950.56843,-0.00133
3949.86044,-0.00135
3949.15246,-0.00136
3948.44447,-0.00137
3947.73648,-0.00139
3947.02849,-0.0014
3946.32051,-0.00142
3945.61252,-0.00143
3944.90453,-0.00145
3944.19655,-0.00146
3943.48856,-0.00147
3942.78057,-0.00148
3942.07258,-0.00149
3941.3646,-0.0015
3940.65661,-0.0015
3939.94862,-0.00151
3939.24064,-0.00151
3938.53265,-0.00152
3937.82466,-0.00152
3937.11667,-0.00152
3936.40869,-0.00152
3935.7007,-0.00151
3934.99271,-0.00151
