14C,
Longitud de onda,Absorbancia
3998.71156,-0.00012
3998.00357,-0.00013
3997.29558,-0.00015
3996.5876,-0.00016
3995.87961,-0.00017
3995.17162,-0.00018
3994.46363,-0.00019
3993.75565,-0.0002
3993.04766,-0.00021
3992.33967,-0.00022
3991.63169,-0.00023
3990.9237,-0.00024
3990.21571,-0.00025
3989.50772,-0.00026
3988.79974,-0.00027
3988.09175,-0.00028
3987.38376,-0.00028
3986.67578,-0.00029
3985.96779,-0.0003
3985.2598,-0.0003
3984.55181,-0.0003
3983.84383,-0.00031
3983.13584,-0.00031
3982.42785,-0.00031
3981.71987,-0.00031
3981.01188,-0.00031
3980.30389,-0.00031
3979.5959,-0.0003
3978.88792,-0.0003
3978.17993,-0.00029
3977.47194,-0.00029
3976.76396,-0.00028
3976.05597,-0.00028
3975.34798,-0.00027
3974.63999,-0.00026
3973.93201,-0.00026
3973.22402,-0.00025
3972.51603,-0.00025
3971.80805,-0.00024
3971.10006,-0.00024
3970.39207,-0.00023
3969.68408,-0.00023
3968.9761,-0.00023
3968.26811,-0.00023
3967.56012,-0.00022
3966.85213,-0.00022
3966.14415,-0.00022
3965.43616,-0.00022
3964.72817,-0.00022
3964.02019,-0.00022
3963.3122,-0.00022
3962.60421,-0.00022
3961.89622,-0.00022
3961.18824,-0.00022
3960.48025,-0.00022
3959.77226,-0.00021
3959.06428,-0.00021
3958.35629,-0.00021
3957.6483,-0.0002
3956.94031,-0.00019
3956.23233,-0.00019
3955.52434,-0.00018
3954.81635,-0.00017
3954.10837,-0.00016
3953.40038,-0.00016
3952.69239,-0.00015
3951.9844,-0.00014
3951.27642,-0.00013
3950.56843,-0.00012
3949.86044,-0.00012
3949.15246,-0.00011
3948.44447,-0.0001
3947.73648,-0.0001
3947.02849,-9e-05
3946.32051,-9e-05
3945.61252,-8e-05
3944.90453,-8e-05
3944.19655,-8e-05
3943.48856,-8e-05
3942.78057,-7e-05
3942.07258,-7e-05
3941.3646,-7e-05
3940.65661,-7e-05
3939.94862,-7e-05
3939.24064,-7e-05
3938.53265,-7e-05
3937.82466,-6e-05
3937.11667,-6e-05
3936.40869,-6e-05
3935.7007,-5e-05
3934.99271,-5e-05
3934.28472,-4e-05
3933.57674,-4e-05
3932.86875,-3e-05
3932.16076,-3e-05
3931.45278,-2e-05
3930.74479,-1e-05
3930.0368,-1e-05
3929.32881,0.0
3928.62083,0.0
3927.91284,1e-05
3927.20485,1e-05
3926.49687,1e-05
3925.78888,2e-05
3925.08089,1e-05
3924.3729,1e-05
3923.66492,1e-05
3922.95693,0.0
3922.24894,0.0
3921.54096,-1e-05
3920.83297,-2e-05
3920.12498,-3e-05
3919.41699,-4e-05
3918.70901,-5e-05
3918.00102,-6e-05
3917.29303,-7e-05
3916.58505,-9e-05
3915.87706,-0.0001
3915.16907,-0.00011
3914.46108,-0.00012
3913.7531,-0.00013
3913.04511,-0.00014
3912.33712,-0.00015
3911.62914,-0.00016
3910.92115,-0.00017
3910.21316,-0.00018
3909.50517,-0.00019
3908.79719,-0.00019
3908.0892,-0.00019
3907.38121,-0.0002
3906.67323,-0.0002
3905.96524,-0.0002
3905.25725,-0.00019
3904.54926,-0.00019
3903.84128,-0.00018
3903.13329,-0.00018
3902.4253,-0.00017
3901.71731,-0.00016
3901.00933,-0.00015
3900.30134,-0.00013
3899.59335,-0.00012
3898.88537,-0.00011
3898.17738,-0.0001
3897.46939,-9e-05
3896.7614,-8e-05
3896.05342,-6e-05
3895.34543,-5e-05
3894.63744,-4e-05
3893.92946,-4e-05
3893.22147,-3e-05
3892.51348,-2e-05
3891.80549,-1e-05
3891.09751,0.0
3890.38952,1e-05
3889.68153,2e-05
3888.97355,3e-05
3888.26556,4e-05
3887.55757,5e-05
3886.84958,7e-05
3886.1416,8e-05
3885.43361,9e-05
3884.72562,0.0001
3884.01764,0.00011
3883.30965,0.00012
3882.60166,0.00013
3881.89367,0.00014
3881.18569,0.00015
3880.4777,0.00016
3879.76971,0.00017
3879.06173,0.00017
3878.35374,0.00018
3877.64575,0.00018
3876.93776,0.00018
3876.22978,0.00019
3875.52179,0.00019
3874.8138,0.00019
3874.10582,0.00019
3873.39783,0.0002
3872.68984,0.0002
3871.98185,0.0002
3871.27387,0.0002
3870.56588,0.00021
3869.85789,0.00021
3869.1499,0.00021
3868.44192,0.00021
3867.73393,0.00021
3867.02594,0.00022
3866.31796,0.00022
3865.60997,0.00022
3864.90198,0.00022
3864.19399,0.00021
3863.48601,0.00021
3862.77802,0.00021
3862.07003,0.0002
3861.36205,0.0002
3860.65406,0.00019
3859.94607,0.00018
3859.23808,0.00018
3858.5301,0.00017
3857.82211,0.00016
3857.11412,0.00016
3856.40614,0.00015
3855.69815,0.00015
3854.99016,0.00014
3854.28217,0.00014
3853.57419,0.00014
3852.8662,0.00014
3852.15821,0.00015
3851.45023,0.00015
3850.74224,0.00015
3850.03425,0.00015
3849.32626,0.00016
3848.61828,0.00016
3847.91029,0.00016
3847.2023,0.00016
3846.49432,0.00016
3845.78633,0.00016
3845.07834,0.00016
3844.37035,0.00016
3843.66237,0.00016
3842.95438,0.00015
3842.24639,0.00015
3841.53841,0.00015
3840.83042,0.00015
3840.12243,0.00014
3839.41444,0.00014
3838.70646,0.00014
3837.99847,0.00014
3837.29048,0.00015
3836.58249,0.00015
3835.87451,0.00015
3835.16652,0.00015
3834.45853,0.00016
3833.75055,0.00016
3833.04256,0.00016
3832.33457,0.00016
3831.62658,0.00016
3830.9186,0.00017
3830.21061,0.00017
3829.50262,0.00016
3828.79464,0.00016
3828.08665,0.00016
3827.37866,0.00016
3826.67067,0.00015
3825.96269,0.00015
3825.2547,0.00014
3824.54671,0.00013
3823.83873,0.00012
