2A,
Longitud de onda,Absorbancia
3998.71156,-0.00156
3998.00357,-0.00157
3997.29558,-0.00157
3996.5876,-0.00158
3995.87961,-0.00158
3995.17162,-0.00159
3994.46363,-0.00159
3993.75565,-0.0016
3993.04766,-0.00161
3992.33967,-0.00161
3991.63169,-0.00162
3990.9237,-0.00162
3990.21571,-0.00163
3989.50772,-0.00164
3988.79974,-0.00165
3988.09175,-0.00165
3987.38376,-0.00166
3986.67578,-0.00167
3985.96779,-0.00168
3985.2598,-0.00168
3984.55181,-0.00169
3983.84383,-0.0017
3983.13584,-0.00171
3982.42785,-0.00172
3981.71987,-0.00173
3981.01188,-0.00173
3980.30389,-0.00174
3979.5959,-0.00175
3978.88792,-0.00176
3978.17993,-0.00177
3977.47194,-0.00178
3976.76396,-0.00179
3976.05597,-0.0018
3975.34798,-0.00181
3974.63999,-0.00182
3973.93201,-0.00183
3973.22402,-0.00183
3972.51603,-0.00184
3971.80805,-0.00185
3971.10006,-0.00186
3970.39207,-0.00187
3969.68408,-0.00188
3968.9761,-0.00188
3968.26811,-0.00189
3967.56012,-0.0019
3966.85213,-0.00191
3966.14415,-0.00191
3965.43616,-0.00192
3964.72817,-0.00193
3964.02019,-0.00194
3963.3122,-0.00194
3962.60421,-0.00195
3961.89622,-0.00196
3961.18824,-0.00197
3960.48025,-0.00198
3959.77226,-0.00199
3959.06428,-0.002
3958.35629,-0.00201
3957.6483,-0.00202
3956.94031,-0.00204
3956.23233,-0.00205
3955.52434,-0.00206
3954.81635,-0.00207
3954.10837,-0.00209
3953.40038,-0.0021
3952.69239,-0.00211
3951.9844,-0.00212
3951.27642,-0.00213
3950.56843,-0.00214
3949.86044,-0.00215
3949.15246,-0.00216
3948.44447,-0.00217
3947.73648,-0.00217
3947.02849,-0.00218
3946.32051,-0.00218
3945.61252,-0.00218
3944.90453,-0.00218
3944.19655,-0.00219
3943.48856,-0.00218
3942.78057,-0.00218
3942.07258,-0.00218
3941.3646,-0.00218
3940.65661,-0.00218
3939.94862,-0.00218
3939.24064,-0.00219
3938.53265,-0.00219
3937.82466,-0.00219
3937.11667,-0.0022
3936.40869,-0.00221
3935.7007,-0.00222
3934.99271,-0.00223
3934.28472,-0.00224
3933.57674,-0.00225
3932.86875,-0.00227
3932.16076,-0.00228
3931.45278,-0.0023
3930.74479,-0.00231
3930.0368,-0.00233
3929.32881,-0.00235
3928.62083,-0.00236
3927.91284,-0.00237
3927.20485,-0.00239
3926.49687,-0.0024
3925.78888,-0.00241
3925.08089,-0.00242
3924.3729,-0.00242
3923.66492,-0.00242
3922.95693,-0.00243
3922.24894,-0.00242
3921.54096,-0.00242
3920.83297,-0.00242
3920.12498,-0.00241
3919.41699,-0.0024
3918.70901,-0.00239
3918.00102,-0.00237
3917.29303,-0.00236
3916.58505,-0.00234
3915.87706,-0.00233
3915.16907,-0.00231
3914.46108,-0.0023
3913.7531,-0.00229
3913.04511,-0.00227
3912.33712,-0.00227
3911.62914,-0.00226
3910.92115,-0.00226
3910.21316,-0.00226
3909.50517,-0.00226
3908.79719,-0.00227
3908.0892,-0.00228
3907.38121,-0.00229
3906.67323,-0.00231
3905.96524,-0.00233
3905.25725,-0.00235
3904.54926,-0.00238
3903.84128,-0.00241
3903.13329,-0.00244
3902.4253,-0.00246
3901.71731,-0.00249
3901.00933,-0.00252
3900.30134,-0.00255
3899.59335,-0.00257
3898.88537,-0.00259
3898.17738,-0.00261
3897.46939,-0.00263
3896.7614,-0.00264
3896.05342,-0.00265
3895.34543,-0.00267
3894.63744,-0.00268
3893.92946,-0.00268
3893.22147,-0.00269
3892.51348,-0.0027
3891.80549,-0.00271
3891.09751,-0.00272
3890.38952,-0.00273
3889.68153,-0.00274
3888.97355,-0.00275
3888.26556,-0.00276
3887.55757,-0.00277
3886.84958,-0.00278
3886.1416,-0.00279
3885.43361,-0.0028
3884.72562,-0.00281
3884.01764,-0.00281
3883.30965,-0.00282
3882.60166,-0.00282
3881.89367,-0.00283
3881.18569,-0.00283
3880.4777,-0.00283
3879.76971,-0.00283
3879.06173,-0.00283
3878.35374,-0.00283
3877.64575,-0.00283
3876.93776,-0.00283
3876.22978,-0.00283
3875.52179,-0.00283
3874.8138,-0.00283
3874.10582,-0.00284
3873.39783,-0.00284
3872.68984,-0.00285
3871.98185,-0.00286
3871.27387,-0.00287
3870.56588,-0.00289
3869.85789,-0.0029
3869.1499,-0.00291
3868.44192,-0.00293
3867.73393,-0.00295
3867.02594,-0.00296
3866.31796,-0.00297
3865.60997,-0.00299
3864.90198,-0.003
3864.19399,-0.00301
3863.48601,-0.00301
3862.77802,-0.00302
3862.07003,-0.00302
3861.36205,-0.00302
3860.65406,-0.00302
3859.94607,-0.00301
3859.23808,-0.00301
3858.5301,-0.003
3857.82211,-0.00299
3857.11412,-0.00298
3856.40614,-0.00296
3855.69815,-0.00295
3854.99016,-0.00294
3854.28217,-0.00293
3853.57419,-0.00293
3852.8662,-0.00292
3852.15821,-0.00292
3851.45023,-0.00291
3850.74224,-0.00291
3850.03425,-0.00291
3849.32626,-0.00291
3848.61828,-0.00291
3847.91029,-0.00291
3847.2023,-0.00291
3846.49432,-0.00292
3845.78633,-0.00292
3845.07834,-0.00292
3844.37035,-0.00292
3843.66237,-0.00293
3842.95438,-0.00293
3842.24639,-0.00294
3841.53841,-0.00295
3840.83042,-0.00295
3840.12243,-0.00296
3839.41444,-0.00297
