4B,
Longitud de onda,Absorbancia
3998.71156,-0.00199
3998.00357,-0.002
3997.29558,-0.002
3996.5876,-0.002
3995.87961,-0.00201
3995.17162,-0.00201
3994.46363,-0.00201
3993.75565,-0.00202
3993.04766,-0.00202
3992.33967,-0.00202
3991.63169,-0.00203
3990.9237,-0.00203
3990.21571,-0.00203
3989.50772,-0.00204
3988.79974,-0.00204
3988.09175,-0.00204
3987.38376,-0.00204
3986.67578,-0.00205
3985.96779,-0.00205
3985.2598,-0.00205
3984.55181,-0.00205
3983.84383,-0.00205
3983.13584,-0.00206
3982.42785,-0.00206
3981.71987,-0.00206
3981.01188,-0.00207
3980.30389,-0.00207
3979.5959,-0.00208
3978.88792,-0.00208
3978.17993,-0.00209
3977.47194,-0.00209
3976.76396,-0.0021
3976.05597,-0.0021
3975.34798,-0.00211
3974.63999,-0.00211
3973.93201,-0.00212
3973.22402,-0.00213
3972.51603,-0.00213
3971.80805,-0.00214
3971.10006,-0.00215
3970.39207,-0.00215
3969.68408,-0.00216
3968.9761,-0.00217
3968.26811,-0.00218
3967.56012,-0.00219
3966.85213,-0.0022
3966.14415,-0.00221
3965.43616,-0.00222
3964.72817,-0.00223
3964.02019,-0.00224
3963.3122,-0.00226
3962.60421,-0.00228
3961.89622,-0.00229
3961.18824,-0.00231
3960.48025,-0.00233
3959.77226,-0.00235
3959.06428,-0.00237
3958.35629,-0.0024
3957.6483,-0.00242
3956.94031,-0.00245
3956.23233,-0.00247
3955.52434,-0.0025
3954.81635,-0.00253
3954.10837,-0.00255
3953.40038,-0.00258
3952.69239,-0.00261
3951.9844,-0.00263
3951.27642,-0.00266
3950.56843,-0.00269
3949.86044,-0.00271
3949.15246,-0.00273
3948.44447,-0.00275
3947.73648,-0.00277
3947.02849,-0.00278
3946.32051,-0.0028
3945.61252,-0.00281
3944.90453,-0.00281
3944.19655,-0.00282
3943.48856,-0.00282
3942.78057,-0.00282
3942.07258,-0.00282
3941.3646,-0.00282
3940.65661,-0.00282
3939.94862,-0.00282
3939.24064,-0.00281
3938.53265,-0.00281
3937.82466,-0.00281
3937.11667,-0.00281
3936.40869,-0.00282
3935.7007,-0.00282
3934.99271,-0.00282
3934.28472,-0.00283
3933.57674,-0.00284
3932.86875,-0.00285
3932.16076,-0.00286
3931.45278,-0.00287
3930.74479,-0.00288
3930.0368,-0.00289
3929.32881,-0.0029
3928.62083,-0.00291
3927.91284,-0.00292
3927.20485,-0.00293
3926.49687,-0.00294
3925.78888,-0.00294
3925.08089,-0.00295
3924.3729,-0.00296
3923.66492,-0.00296
3922.95693,-0.00296
3922.24894,-0.00296
3921.54096,-0.00296
3920.83297,-0.00296
3920.12498,-0.00295
3919.41699,-0.00295
3918.70901,-0.00294
3918.00102,-0.00293
3917.29303,-0.00293
3916.58505,-0.00292
3915.87706,-0.00291
3915.16907,-0.0029
3914.46108,-0.0029
3913.7531,-0.00289
3913.04511,-0.00289
3912.33712,-0.00289
3911.62914,-0.00289
3910.92115,-0.0029
3910.21316,-0.00291
3909.50517,-0.00292
3908.79719,-0.00294
3908.0892,-0.00296
3907.38121,-0.00298
3906.67323,-0.00301
3905.96524,-0.00305
3905.25725,-0.00308
3904.54926,-0.00312
3903.84128,-0.00317
3903.13329,-0.00321
3902.4253,-0.00325
3901.71731,-0.00329
3901.00933,-0.00333
3900.30134,-0.00337
3899.59335,-0.00341
3898.88537,-0.00344
3898.17738,-0.00347
3897.46939,-0.00349
3896.7614,-0.0035
3896.05342,-0.00352
3895.34543,-0.00353
3894.63744,-0.00353
3893.92946,-0.00353
3893.22147,-0.00353
3892.51348,-0.00353
3891.80549,-0.00353
3891.09751,-0.00353
3890.38952,-0.00352
3889.68153,-0.00352
3888.97355,-0.00351
3888.26556,-0.00351
3887.55757,-0.0035
3886.84958,-0.0035
3886.1416,-0.00349
3885.43361,-0.00349
3884.72562,-0.00348
3884.01764,-0.00348
3883.30965,-0.00347
3882.60166,-0.00347
3881.89367,-0.00346
3881.18569,-0.00346
3880.4777,-0.00346
3879.76971,-0.00345
3879.06173,-0.00345
3878.35374,-0.00345
3877.64575,-0.00345
3876.93776,-0.00345
3876.22978,-0.00345
3875.52179,-0.00345
3874.8138,-0.00345
3874.10582,-0.00346
3873.39783,-0.00347
3872.68984,-0.00348
3871.98185,-0.00349
3871.27387,-0.0035
3870.56588,-0.00352
3869.85789,-0.00353
3869.1499,-0.00354
3868.44192,-0.00356
3867.73393,-0.00357
3867.02594,-0.00359
3866.31796,-0.0036
3865.60997,-0.00361
3864.90198,-0.00361
3864.19399,-0.00362
3863.48601,-0.00362
3862.77802,-0.00362
3862.07003,-0.00362
3861.36205,-0.00361
3860.65406,-0.0036
3859.94607,-0.00359
3859.23808,-0.00358
3858.5301,-0.00357
3857.82211,-0.00356
3857.11412,-0.00356
3856.40614,-0.00355
3855.69815,-0.00355
3854.99016,-0.00355
3854.28217,-0.00355
3853.57419,-0.00356
3852.8662,-0.00357
3852.15821,-0.00358
3851.45023,-0.00359
3850.74224,-0.00361
3850.03425,-0.00362
3849.32626,-0.00364
3848.61828,-0.00365
3847.91029,-0.00366
3847.2023,-0.00367
3846.49432,-0.00367
3845.78633,-0.00367
3845.07834,-0.00368
3844.37035,-0.00368
3843.66237,-0.00367
3842.95438,-0.00367
3842.24639,-0.00367
3841.53841,-0.00367
3840.83042,-0.00367
3840.12243,-0.00368
3839.41444,-0.00368
3838.70646,-0.00368
3837.99847,-0.00368
3837.29048,-0.00368
3836.58249,-0.00369
3835.87451,-0.00368
3835.16652,-0.00368
3834.45853,-0.00368
3833.75055,-0.00367
3833.04256,-0.00366
3832.33457,-0.00364
3831.62658,-0.00363
3830.9186,-0.00361
3830.21061,-0.00359
3829.50262,-0.00357
3828.79464,-0.00355
3828.08665,-0.00353
3827.37866,-0.0035
3826.67067,-0.00348
3825.96269,-0.00346
3825.2547,-0.00345
3824.54671,-0.00343
3823.83873,-0.00342
3823.13074,-0.00341
