23A,
Longitud de onda,Absorbancia
3811.09496,-0.00047
3810.38697,-0.00048
3809.67898,-0.00048
3808.971,-0.00049
3808.26301,-0.0005
3807.55502,-0.00051
3806.84703,-0.00052
3806.13905,-0.00052
3805.43106,-0.00053
3804.72307,-0.00053
3804.01508,-0.00054
3803.3071,-0.00054
3802.59911,-0.00055
3801.89112,-0.00055
3801.18314,-0.00056
3800.47515,-0.00056
3799.76716,-0.00056
3799.05917,-0.00056
3798.35119,-0.00057
3797.6432,-0.00057
3796.93521,-0.00057
3796.22723,-0.00058
3795.51924,-0.00058
3794.81125,-0.00059
3794.10326,-0.00059
3793.39528,-0.0006
3792.68729,-0.00061
3791.9793,-0.00062
3791.27132,-0.00063
3790.56333,-0.00064
3789.85534,-0.00065
3789.14735,-0.00066
3788.43937,-0.00067
3787.73138,-0.00069
3787.02339,-0.0007
3786.31541,-0.00071
3785.60742,-0.00072
3784.89943,-0.00073
3784.19144,-0.00074
3783.48346,-0.00075
3782.77547,-0.00076
3782.06748,-0.00077
3781.3595,-0.00078
3780.65151,-0.00078
3779.94352,-0.00079
3779.23553,-0.00079
3778.52755,-0.00079
3777.81956,-0.0008
3777.11157,-0.0008
3776.40359,-0.0008
3775.6956,-0.0008
3774.98761,-0.0008
3774.27962,-0.0008
3773.57164,-0.0008
3772.86365,-0.0008
3772.15566,-0.0008
3771.44767,-0.0008
3770.73969,-0.0008
3770.0317,-0.0008
3769.32371,-0.0008
3768.61573,-0.0008
3767.90774,-0.0008
3767.19975,-0.0008
3766.49176,-0.0008
3765.78378,-0.0008
3765.07579,-0.00081
3764.3678,-0.00081
3763.65982,-0.00081
3762.95183,-0.00082
3762.24384,-0.00082
3761.53585,-0.00083
3760.82787,-0.00083
3760.11988,-0.00084
3759.41189,-0.00084
3758.70391,-0.00085
3757.99592,-0.00086
3757.28793,-0.00087
3756.57994,-0.00087
3755.87196,-0.00088
3755.16397,-0.00089
3754.45598,-0.0009
3753.748,-0.0009
3753.04001,-0.00091
3752.33202,-0.00091
3751.62403,-0.00092
3750.91605,-0.00092
3750.20806,-0.00093
3749.50007,-0.00093
3748.79209,-0.00093
3748.0841,-0.00092
3747.37611,-0.00092
3746.66812,-0.00092
3745.96014,-0.00091
3745.25215,-0.00091
3744.54416,-0.0009
3743.83618,-0.00089
3743.12819,-0.00088
3742.4202,-0.00087
3741.71221,-0.00087
3741.00423,-0.00086
3740.29624,-0.00086
3739.58825,-0.00085
3738.88026,-0.00085
3738.17228,-0.00085
3737.46429,-0.00085
3736.7563,-0.00085
3736.04832,-0.00085
3735.34033,-0.00085
3734.63234,-0.00086
3733.92435,-0.00086
3733.21637,-0.00087
3732.50838,-0.00088
3731.80039,-0.00088
3731.09241,-0.00089
3730.38442,-0.0009
3729.67643,-0.00091
3728.96844,-0.00092
3728.26046,-0.00093
3727.55247,-0.00095
3726.84448,-0.00096
3726.1365,-0.00097
3725.42851,-0.00098
3724.72052,-0.001
3724.01253,-0.00101
3723.30455,-0.00103
3722.59656,-0.00104
3721.88857,-0.00106
3721.18059,-0.00108
3720.4726,-0.0011
3719.76461,-0.00111
3719.05662,-0.00113
3718.34864,-0.00115
3717.64065,-0.00117
3716.93266,-0.0012
3716.22468,-0.00122
3715.51669,-0.00124
3714.8087,-0.00127
3714.10071,-0.00129
3713.39273,-0.00132
3712.68474,-0.00134
3711.97675,-0.00137
3711.26877,-0.00139
3710.56078,-0.00142
3709.85279,-0.00144
3709.1448,-0.00147
3708.43682,-0.00149
3707.72883,-0.00151
3707.02084,-0.00154
3706.31285,-0.00156
3705.60487,-0.00158
3704.89688,-0.0016
3704.18889,-0.00162
3703.48091,-0.00164
3702.77292,-0.00166
3702.06493,-0.00168
3701.35694,-0.00169
3700.64896,-0.00171
3699.94097,-0.00173
3699.23298,-0.00175
3698.525,-0.00177
3697.81701,-0.00179
